Claim 0: |{|Model Type, LLM|, |Model Name, CodeLlama-13B|, |Dataset, Spider (GreedyGen=62.3)|}, Re-ranking , 57.5|

Claim 1: |{|Model Type, LLM|, |Model Name, CodeLlama-13B|, |Dataset, Spider (GreedyGen=62.3)|}, Iter. Correct , 51.7|

Claim 2: |{|Model Type, LLM|, |Model Name, CodeLlama-13B|, |Dataset, Spider (GreedyGen=62.3)|}, Tree Search, 55.5|

Claim 3: |{|Model Type, LLM|, |Model Name, CodeLlama-13B|, |Dataset, Bird (GreedyGen=16.0)|}, Re-ranking , 13.3|

Claim 4: |{|Model Type, LLM|, |Model Name, CodeLlama-13B|, |Dataset, Bird (GreedyGen=16.0)|}, Iter. Correct. , 13.3|

Claim 5: |{|Model Type, LLM|, |Model Name, CodeLlama-13B|, |Dataset, Bird (GreedyGen=16.0)|}, Tree Search , 13.3|


Claim 6: |{|Model Type, LLM|, |Model Name, GPT-3.5-Turbo|, |Dataset, Spider (GreedyGen=62.3)|}, Re-ranking , 58.3|

Claim 7: |{|Model Type, LLM|, |Model Name, GPT-3.5-Turbo|, |Dataset, Spider (GreedyGen=62.3)|}, Iter. Correct. , 52.7|

Claim 8: |{|Model Type, LLM|, |Model Name, GPT-3.5-Turbo|, |Dataset, Spider (GreedyGen=62.3)|}, Tree Search , 56.2|

Claim 9: |{|Model Type, LLM|, |Model Name, GPT-3.5-Turbo|, |Dataset, Bird (GreedyGen=16.0)|}, Re-ranking , 18.0|

Claim 10: |{|Model Type, LLM|, |Model Name, GPT-3.5-Turbo|, |Dataset, Bird (GreedyGen=16.0)|}, Iter. Correct. , 17.3|

Claim 11: |{|Model Type, LLM|, |Model Name, GPT-3.5-Turbo|, |Dataset, Bird (GreedyGen=16.0)|}, Tree Search , 14.0|


Claim 12: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FT|, |Dataset, Spider (GreedyGen=62.3)|}, Re-ranking , 61.5|

Claim 13: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FT|, |Dataset, Spider (GreedyGen=62.3)|}, Iter. Correct. , 51.7|

Claim 14: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FT|, |Dataset, Spider (GreedyGen=62.3)|}, Tree Search , 56.0|

Claim 15: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FT|, |Dataset, Bird (GreedyGen=16.0)|}, Re-ranking , 14.3|

Claim 16: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FT|, |Dataset, Bird (GreedyGen=16.0)|}, Iter. Correct. , 13.0|

Claim 17: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FT|, |Dataset, Bird (GreedyGen=16.0)|}, Tree Search , 13.0|


Claim 18: |{|Model Type, LLM|, |Model Name, CodeLlama-13BE|, |Dataset, Spider (GreedyGen=62.3)|}, Re-ranking , 65.5|

Claim 19: |{|Model Type, LLM|, |Model Name, CodeLlama-13BE|, |Dataset, Spider (GreedyGen=62.3)|}, Iter. Correct. , 62.0|

Claim 20: |{|Model Type, LLM|, |Model Name, CodeLlama-13BE|, |Dataset, Spider (GreedyGen=62.3)|}, Tree Search , 62.5|

Claim 21: |{|Model Type, LLM|, |Model Name, CodeLlama-13BE|, |Dataset, Bird (GreedyGen=16.0)|}, Re-ranking , 21.0|

Claim 22: |{|Model Type, LLM|, |Model Name, CodeLlama-13BE|, |Dataset, Bird (GreedyGen=16.0)|}, Iter. Correct. , 24.3|

Claim 23: |{|Model Type, LLM|, |Model Name, CodeLlama-13BE|, |Dataset, Bird (GreedyGen=16.0)|}, Tree Search , 22.7|

Claim 24: |{|Model Type, LLM|, |Model Name, GPT-3.5-TurboE|, |Dataset, Spider (GreedyGen=62.3)|}, Re-ranking , 67.0|

Claim 25: |{|Model Type, LLM|, |Model Name, GPT-3.5-TurboE|, |Dataset, Spider (GreedyGen=62.3)|}, Iter. Correct , 67.5|

Claim 26: |{|Model Type, LLM|, |Model Name, GPT-3.5-TurboE|, |Dataset, Spider (GreedyGen=62.3)|}, Tree Search , 66.0|

Claim 27: |{|Model Type, LLM|, |Model Name, GPT-3.5-TurboE|, |Dataset,  Bird (GreedyGen=16.0)|}, Re-ranking , 22.3|

Claim 28: |{|Model Type, LLM|, |Model Name, GPT-3.5-TurboE|, |Dataset, Bird (GreedyGen=16.0)|}, Iter. Correct. , 25.0|

Claim 29: |{|Model Type, LLM|, |Model Name, GPT-3.5-TurboE|, |Dataset, Bird (GreedyGen=16.0)|}, Tree Search , 22.7|


Claim 30: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FTE|, |Dataset, Spider (GreedyGen=62.3)|}, Re-ranking , 70.3|

Claim 31: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FTE|, |Dataset, Spider (GreedyGen=62.3)|}, Iter. Correct , 68.0|

Claim 32: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FTE|, |Dataset, Spider (GreedyGen=62.3)|}, Tree Search , 67.5|

Claim 33: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FTE|, |Dataset, Bird (GreedyGen=16.0)|}, Re-ranking. , 23.7|

Claim 34: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FTE|, |Dataset, Bird (GreedyGen=16.0)|}, Iter. Correct. , 26.3|

Claim 35: |{|Model Type, LLM|, |Model Name, CodeLlama-13B-FTE|, |Dataset, Bird (GreedyGen=16.0)|}, Tree Search , 21.7|


Claim 36: |{|Model Type, LLM|, |Model Name, Oracle Simulation (τ=1.0)|, |Dataset, Spider (GreedyGen=62.3)|}, Re-ranking , 71.0|

Claim 37: |{|Model Type, LLM|, |Model Name, Oracle Simulation (τ=1.0)|, |Dataset, Spider (GreedyGen=62.3)|}, Iter. Correct. , 76.0|

Claim 38: |{|Model Type, LLM|, |Model Name, Oracle Simulation (τ=1.0)|, |Dataset, Spider (GreedyGen=62.3)|}, Tree Search , 76.2|

Claim 39: |{|Model Type, LLM|, |Model Name, Oracle Simulation (τ=1.0)|, |Dataset,Bird (GreedyGen=16.0)|}, Re-ranking. , 27.0|

Claim 40: |{|Model Type, LLM|, |Model Name, Oracle Simulation (τ=1.0)|, |Dataset, Bird (GreedyGen=16.0)|}, Iter. Correct. , 32.7|

Claim 41: |{|Model Type, LLM|, |Model Name, Oracle Simulation (τ=1.0)|, |Dataset, Bird (GreedyGen=16.0)|}, Tree Search , 29.3|
