Claim 0: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 1 CoT|}, ASR, 7.44|
Claim 1: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 2 A|}, ASR, 12.87|
Claim 2: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 3 A|}, ASR, 13.95|
Claim 3: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 1 CoT|}, FPR, 4.44|
Claim 4: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 2 A|}, FPR, 1.00|
Claim 5: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 3 A|}, FPR, 0.96|
Claim 6: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 1 CoT|}, Accuracy, 94.72|
Claim 7: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 2 A|}, Accuracy, 95.67|
Claim 8: |{|LLM, GPT-3.5|, |Task, N/A|, |Configuration, 3 A|}, Accuracy, 95.40|
Claim 9: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 1 CoT|}, ASR, 9.44|
Claim 10: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 2 A|}, ASR, 8.77|
Claim 11: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 3 A|}, ASR, 7.95|
Claim 12: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 1 CoT|}, FPR, 9.24|
Claim 13: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 2 A|}, FPR, 6.58|
Claim 14: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 3 A|}, FPR, 6.76|
Claim 15: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 1 CoT|}, Accuracy, 90.71|
Claim 16: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 2 A|}, Accuracy, 92.81|
Claim 17: |{|LLM, LLaMA-2-13b|, |Task, N/A|, |Configuration, 3 A|}, Accuracy, 92.91|
Claim 18: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 1 CoT|}, ASR, 11.69|
Claim 19: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 2 A|}, ASR, 10.92|
Claim 20: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 3 A|}, ASR, 6.05|
Claim 21: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 1 CoT|}, FPR, 3.00|
Claim 22: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 2 A|}, FPR, 5.34|
Claim 23: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 3 A|}, FPR, 13.12|
Claim 24: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 1 CoT|}, Accuracy, 94.56|
Claim 25: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 2 A|}, Accuracy, 93.09|
Claim 26: |{|LLM, LLaMA-2-70b|, |Task, N/A|, |Configuration, 3 A|}, Accuracy, 88.86|
Claim 27: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 1 CoT|}, ASR, 10.87|
Claim 28: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 2 A|}, ASR, 3.49|
Claim 29: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 3 A|}, ASR, 3.13|
Claim 30: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 1 CoT|}, FPR, 17.16|
Claim 31: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 2 A|}, FPR, 40.26|
Claim 32: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 3 A|}, FPR, 37.32|
Claim 33: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 1 CoT|}, Accuracy, 84.60|
Claim 34: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 2 A|}, Accuracy, 70.06|
Claim 35: |{|LLM, LLaMA-2-7b|, |Task, N/A|, |Configuration, 3 A|}, Accuracy, 72.27|
