Claim 0: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.2106|
Claim 1: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.0702|
Claim 2: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.3013|
Claim 3: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.271|
Claim 4: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.1907|
Claim 5: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.4088|
Claim 6: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.6816|
Claim 7: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.3635|
Claim 8: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.2333|
Claim 9: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.7957|
Claim 10: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.343|
Claim 11: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.4402|
Claim 12: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.5497|
Claim 13: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.3299|
Claim 14: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.5595|
Claim 15: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.5565|
Claim 16: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, CLIP Score, 0.3717|
Claim 17: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.2106|
Claim 18: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.0702|
Claim 19: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.3013|
Claim 20: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.271|
Claim 21: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.1907|
Claim 22: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.4088|
Claim 23: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.6816|
Claim 24: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.3635|
Claim 25: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.2333|
Claim 26: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.7957|
Claim 27: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.343|
Claim 28: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.4402|
Claim 29: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.5497|
Claim 30: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, BERT Score, 0.3299|
Claim 31: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.5595|
Claim 32: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.5565|
Claim 33: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, BERT Score, 0.3717|
Claim 34: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.2106|
Claim 35: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.0702|
Claim 36: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.3013|
Claim 37: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.271|
Claim 38: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.1907|
Claim 39: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.4088|
Claim 40: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.6816|
Claim 41: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.3635|
Claim 42: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.2333|
Claim 43: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.7957|
Claim 44: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.343|
Claim 45: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.4402|
Claim 46: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.5497|
Claim 47: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, ViT Score, 0.3299|
Claim 48: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.5595|
Claim 49: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.5565|
Claim 50: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, ViT Score, 0.3717|
Claim 51: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.2106|
Claim 52: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.0702|
Claim 53: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.3013|
Claim 54: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.271|
Claim 55: |{|Model, GPT-3.5-turbo|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.1907|
Claim 56: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.4088|
Claim 57: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.6816|
Claim 58: |{|Model, Claude-2|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.3635|
Claim 59: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.2333|
Claim 60: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.7957|
Claim 61: |{|Model, Claude-2|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.343|
Claim 62: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.4402|
Claim 63: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.5497|
Claim 64: |{|Model, GPT-4|, |Prompt, Prompt-1|, |Task, zero-shot task-solving performance|}, Overall, 0.3299|
Claim 65: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.5595|
Claim 66: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.5565|
Claim 67: |{|Model, GPT-4|, |Prompt, Prompt-2|, |Task, zero-shot task-solving performance|}, Overall, 0.3717|
