Claim 0: |{|Discriminator, CodeLlama-13B|, |Dataset, Spider|, |Planning Method, Re-ranking|, |Task, text-to-SQL parsing|}, Accuracy, 57.5|
Claim 1: |{|Discriminator, CodeLlama-13B|, |Dataset, Spider|, |Planning Method, Iterative Correction|, |Task, text-to-SQL parsing|}, Accuracy, 51.7|
Claim 2: |{|Discriminator, CodeLlama-13B|, |Dataset, Spider|, |Planning Method, Tree Search|, |Task, text-to-SQL parsing|}, Accuracy, 55.5|
Claim 3: |{|Discriminator, CodeLlama-13B|, |Dataset, Spider|, |Planning Method, Advanced Planning|, |Task, text-to-SQL parsing|}, Accuracy, nan|
Claim 4: |{|Discriminator, GPT-3.5-Turbo|, |Dataset, Bird|, |Planning Method, Re-ranking|, |Task, text-to-SQL parsing|}, Accuracy, 13.3|
Claim 5: |{|Discriminator, GPT-3.5-Turbo|, |Dataset, Bird|, |Planning Method, Iterative Correction|, |Task, text-to-SQL parsing|}, Accuracy, 13.3|
Claim 6: |{|Discriminator, GPT-3.5-Turbo|, |Dataset, Bird|, |Planning Method, Tree Search|, |Task, text-to-SQL parsing|}, Accuracy, 13.3|
Claim 7: |{|Discriminator, GPT-3.5-Turbo|, |Dataset, Bird|, |Planning Method, Advanced Planning|, |Task, text-to-SQL parsing|}, Accuracy, nan|
Claim 8: |{|Discriminator, CodeLlama-13B-FT|, |Dataset, Spider|, |Planning Method, Re-ranking|, |Task, text-to-SQL parsing|}, Accuracy, 61.5|
Claim 9: |{|Discriminator, CodeLlama-13B-FT|, |Dataset, Spider|, |Planning Method, Iterative Correction|, |Task, text-to-SQL parsing|}, Accuracy, 51.7|
Claim 10: |{|Discriminator, CodeLlama-13B-FT|, |Dataset, Spider|, |Planning Method, Tree Search|, |Task, text-to-SQL parsing|}, Accuracy, 56.0|
Claim 11: |{|Discriminator, CodeLlama-13B-FT|, |Dataset, Spider|, |Planning Method, Advanced Planning|, |Task, text-to-SQL parsing|}, Accuracy, 67.5|
Claim 12: |{|Discriminator, CodeLlama-13B (E)|, |Dataset, Bird|, |Planning Method, Re-ranking|, |Task, text-to-SQL parsing|}, Accuracy, 14.3|
Claim 13: |{|Discriminator, CodeLlama-13B (E)|, |Dataset, Bird|, |Planning Method, Iterative Correction|, |Task, text-to-SQL parsing|}, Accuracy, 13.0|
Claim 14: |{|Discriminator, CodeLlama-13B (E)|, |Dataset, Bird|, |Planning Method, Tree Search|, |Task, text-to-SQL parsing|}, Accuracy, 13.0|
Claim 15: |{|Discriminator, CodeLlama-13B (E)|, |Dataset, Bird|, |Planning Method, Advanced Planning|, |Task, text-to-SQL parsing|}, Accuracy, 23.7|
Claim 16: |{|Discriminator, GPT-3.5-Turbo (E)|, |Dataset, Spider|, |Planning Method, Re-ranking|, |Task, text-to-SQL parsing|}, Accuracy, 65.5|
Claim 17: |{|Discriminator, GPT-3.5-Turbo (E)|, |Dataset, Spider|, |Planning Method, Iterative Correction|, |Task, text-to-SQL parsing|}, Accuracy, 62.0|
Claim 18: |{|Discriminator, GPT-3.5-Turbo (E)|, |Dataset, Spider|, |Planning Method, Tree Search|, |Task, text-to-SQL parsing|}, Accuracy, 62.5|
Claim 19: |{|Discriminator, GPT-3.5-Turbo (E)|, |Dataset, Spider|, |Planning Method, Advanced Planning|, |Task, text-to-SQL parsing|}, Accuracy, 70.3|
Claim 20: |{|Discriminator, CodeLlama-13B-FT (E)|, |Dataset, Bird|, |Planning Method, Re-ranking|, |Task, text-to-SQL parsing|}, Accuracy, 21.0|
Claim 21: |{|Discriminator, CodeLlama-13B-FT (E)|, |Dataset, Bird|, |Planning Method, Iterative Correction|, |Task, text-to-SQL parsing|}, Accuracy, 24.3|
Claim 22: |{|Discriminator, CodeLlama-13B-FT (E)|, |Dataset, Bird|, |Planning Method, Tree Search|, |Task, text-to-SQL parsing|}, Accuracy, 22.7|
Claim 23: |{|Discriminator, CodeLlama-13B-FT (E)|, |Dataset, Bird|, |Planning Method, Advanced Planning|, |Task, text-to-SQL parsing|}, Accuracy, 26.3|
