Claim 0: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, HaluEval|}, Acc. , 56.00|
Claim 1: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, HaluEval|}, R , 77.33|
Claim 2: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, HaluEval|}, P , 54.21|
Claim 3: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, HaluEval|}, F1 , 63.74|
Claim 4: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, FACTOOL|}, Acc. , 67.33|
Claim 5: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, FACTOOL|}, R , 86.67|
Claim 6: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, FACTOOL|}, P , 62.50|
Claim 7: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, FACTOOL|}, F1 , 72.63|
Claim 8: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, Ours|}, Acc. , 70.67|
Claim 9: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, Ours|}, R , 82.67|
Claim 10: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, Ours|}, P , 66.67|
Claim 11: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Method, Ours|}, F1 , 73.81|
Claim 12: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, HaluEval|}, Acc. , 58.00|
Claim 13: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, HaluEval|}, R , 100.0|
Claim 14: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, HaluEval|}, P , 54.35|
Claim 15: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, HaluEval|}, F1 , 70.42|
Claim 16: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, FACTOOL|}, Acc. , 64.00|
Claim 17: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, FACTOOL|}, R , 48.00|
Claim 18: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, FACTOOL|}, P , 70.59|
Claim 19: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, FACTOOL|}, F1 , 57.14|
Claim 20: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, Ours|}, Acc. , 70.00|
Claim 21: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, Ours|}, R , 64.00|
Claim 22: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, Ours|}, P , 72.73|
Claim 23: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Summarization| , |Method, Ours|}, F1 , 68.09|
Claim 24: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, HaluEval|}, Acc. , 68.00|
Claim 25: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, HaluEval|}, R , 75.71|
Claim 26: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, HaluEval|}, P , 63.10|
Claim 27: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, HaluEval|}, F1 , 68.83|
Claim 28: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, FACTOOL|}, Acc. , 74.67|
Claim 29: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, FACTOOL|}, R , 70.00|
Claim 30: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, FACTOOL|}, P , 74,24|
Claim 31: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, FACTOOL|}, F1 , 72.06|
Claim 32: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, Ours|}, Acc. , 76.00|
Claim 33: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, Ours|}, R , 62.86|
Claim 34: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, Ours|}, P , 81.48|
Claim 35: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, Dialogue| , |Method, Ours|}, F1 , 70.97|
