Claim 0: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Skeptic|}, Acc. , 65.00|
Claim 1: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Skeptic|}, R , 84.21|
Claim 2: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Skeptic|}, P , 59.26|
Claim 3: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Skeptic|}, F1 , 69.57|
Claim 4: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Trust|}, Acc. , 68.75|
Claim 5: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Trust|}, R , 84.21|
Claim 6: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Trust|}, P , 62.75|
Claim 7: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, Always Trust|}, F1 , 71.91|
Claim 8: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Trust|}, Acc. , 67.50|
Claim 9: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Trust|}, R , 89.47|
Claim 10: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Trust|}, P , 60.71|
Claim 11: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Trust|}, F1 , 72.34|
Claim 12: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Skeptic|}, Acc. , 70.00|
Claim 13: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Skeptic|}, R , 86.84|
Claim 14: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Skeptic|}, P , 63.46|
Claim 15: |{|Dataset, HaluEval Li et al. (2023a)| , |Task, QA| , |Samples, 80| , |Method, True→Skeptic|}, F1 , 73.33|
