Claim 0: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-1"| }, CLIP Score, 0.0|
Claim 1: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-2"| }, CLIP Score, 0.0|
Claim 2: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-1"| }, CLIP Score, 0.0|
Claim 3: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-2"| }, CLIP Score, 0.0|
Claim 4: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-1"| }, CLIP Score, 0.0|
Claim 5: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-2"| }, CLIP Score, 0.0| 
Claim 6: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-1"| }, BERT Score, 0.2106|
Claim 7: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-2"| }, BERT Score, 0.3013|
Claim 8: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-1"| }, BERT Score, 0.4088|
Claim 9: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-2"| }, BERT Score, 0.2333|
Claim 10: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-1"| }, BERT Score, 0.4402|
Claim 11: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-2"| }, BERT Score, 0.5595| 
Claim 12: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-1"| }, ViT Score, 0.0|
Claim 13: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-2"| }, ViT Score, 0.2710|
Claim 14: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-1"| }, ViT Score, 0.6816|
Claim 15: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-2"| }, ViT Score, 0.7957|
Claim 16: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-1"| }, ViT Score, 0.5497|
Claim 17: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-2"| }, ViT Score, 0.5565| 
Claim 18: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-1"| }, Overall, 0.0702|
Claim 19: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-3.5-turbo"|, |Prompt, "Prompt-2"| }, Overall, 0.1907|
Claim 20: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-1"| }, Overall, 0.3635|
Claim 21: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "Claude-2"|, |Prompt, "Prompt-2"| }, Overall, 0.3430|
Claim 22: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-1"| }, Overall, 0.3299|
Claim 23: |{ |task, "Zero-shot performances under various prompts"|, |LLM, "GPT-4"|, |Prompt, "Prompt-2"| }, Overall, 0.3717|
