Claim 0: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "CoT@3 [Chain-of-Thought with multiple attempts]"| }, Hallucinated Tool Ratio, 14.2|
Claim 1: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "CoT@3 [Chain-of-Thought with multiple attempts]"| }, Hallucinated Tool Fix Ratio, 25.4|
Claim 2: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "CoT@3 [Chain-of-Thought with multiple attempts]"| }, Tool Call Error Ratio, 41.2|
Claim 3: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "CoT@3 [Chain-of-Thought with multiple attempts]"| }, Tool Call Error Fix Ratio, 14.8|
Claim 4: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "CoT@3 [Chain-of-Thought with multiple attempts]"| }, Unavailable Tool, 2.0|
Claim 5: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "CoT@3 [Chain-of-Thought with multiple attempts]"| }, Decision Failure, 52.5| 
Claim 6: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "BFS [Breadth-First Search]"| }, Hallucinated Tool Ratio, 18.8|
Claim 7: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "BFS [Breadth-First Search]"| }, Hallucinated Tool Fix Ratio, 25.5|
Claim 8: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "BFS [Breadth-First Search]"| }, Tool Call Error Ratio, 50.8|
Claim 9: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "BFS [Breadth-First Search]"| }, Tool Call Error Fix Ratio, 31.1|
Claim 10: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "BFS [Breadth-First Search]"| }, Unavailable Tool, 2.6|
Claim 11: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "BFS [Breadth-First Search]"| }, Decision Failure, 48.6| 
Claim 12: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "DFSDT [Unresolved]"| }, Hallucinated Tool Ratio, 31.5|
Claim 13: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "DFSDT [Unresolved]"| }, Hallucinated Tool Fix Ratio, 38.9|
Claim 14: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "DFSDT [Unresolved]"| }, Tool Call Error Ratio, 62.5|
Claim 15: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "DFSDT [Unresolved]"| }, Tool Call Error Fix Ratio, 41.0|
Claim 16: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "DFSDT [Unresolved]"| }, Unavailable Tool, 3.0|
Claim 17: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "DFSDT [Unresolved]"| }, Decision Failure, 26.4| 
Claim 18: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "RaDAgent [Unresolved]"| }, Hallucinated Tool Ratio, 42.1|
Claim 19: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "RaDAgent [Unresolved]"| }, Hallucinated Tool Fix Ratio, 53.3|
Claim 20: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "RaDAgent [Unresolved]"| }, Tool Call Error Ratio, 62.3|
Claim 21: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "RaDAgent [Unresolved]"| }, Tool Call Error Fix Ratio, 54.0|
Claim 22: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "RaDAgent [Unresolved]"| }, Unavailable Tool, 3.0|
Claim 23: |{ |Dataset, "ToolBench"|, |task, "Tool-based decision-making tasks"|, |Method, "RaDAgent [Unresolved]"| }, Decision Failure, 14.8|
