Claim 0: |{ |LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Creative Writing| }, Coherent Score (mean), 6.087|
Claim 1: |{ |LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Creative Writing| }, Coherent Score (std dev), 2.229|
Claim 2: |{ |LLM-Backend, GPT-4|, |Method, IO|, |Task, Creative Writing| }, Coherent Score (mean), 6.193|
Claim 3: |{ |LLM-Backend, GPT-4|, |Method, IO|, |Task, Creative Writing| }, Coherent Score (std dev), 1.953|
Claim 4: |{ |LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Creative Writing| }, User Study, 14%|
Claim 5: |{ |LLM-Backend, GPT-4|, |Method, IO|, |Task, Creative Writing| }, User Study, 7%| 
Claim 6: |{ |LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Creative Writing| }, Coherent Score (mean), 6.654|
Claim 7: |{ |LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Creative Writing| }, Coherent Score (std dev), 2.201|
Claim 8: |{ |LLM-Backend, GPT-4|, |Method, CoT|, |Task, Creative Writing| }, Coherent Score (mean), 6.927|
Claim 9: |{ |LLM-Backend, GPT-4|, |Method, CoT|, |Task, Creative Writing| }, Coherent Score (std dev), 1.508|
Claim 10: |{ |LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Creative Writing| }, User Study, 21%|
Claim 11: |{ |LLM-Backend, GPT-4|, |Method, CoT|, |Task, Creative Writing| }, User Study, 15%| 
Claim 12: |{ |LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Creative Writing| }, Coherent Score (mean), 6.856|
Claim 13: |{ |LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Creative Writing| }, Coherent Score (std dev), 1.975|
Claim 14: |{ |LLM-Backend, GPT-4|, |Method, ToT|, |Task, Creative Writing| }, Coherent Score (mean), 7.684|
Claim 15: |{ |LLM-Backend, GPT-4|, |Method, ToT|, |Task, Creative Writing| }, Coherent Score (std dev), 1.141|
Claim 16: |{ |LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Creative Writing| }, User Study, 26%|
Claim 17: |{ |LLM-Backend, GPT-4|, |Method, ToT|, |Task, Creative Writing| }, User Study, 33%| 
Claim 18: |{ |LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Creative Writing| }, Coherent Score (mean), 7.000|
Claim 19: |{ |LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Creative Writing| }, Coherent Score (std dev), 1.783|
Claim 20: |{ |LLM-Backend, GPT-4|, |Method, TP|, |Task, Creative Writing| }, Coherent Score (mean), 7.989|
Claim 21: |{ |LLM-Backend, GPT-4|, |Method, TP|, |Task, Creative Writing| }, Coherent Score (std dev), 1.453|
Claim 22: |{ |LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Creative Writing| }, User Study, 39%|
Claim 23: |{ |LLM-Backend, GPT-4|, |Method, TP|, |Task, Creative Writing| }, User Study, 45%|
