Claim 0: |{ |Model, CodeLlama-13B|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 57.5|
Claim 1: |{ |Model, CodeLlama-13B|, |Method, iterative correction|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 51.7|
Claim 2: |{ |Model, CodeLlama-13B|, |Method, tree search|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 55.5|
Claim 3: |{ |Model, CodeLlama-13B|, |Method, re-ranking|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 13.3|
Claim 4: |{ |Model, CodeLlama-13B|, |Method, iterative correction|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 13.3|
Claim 5: |{ |Model, CodeLlama-13B|, |Method, tree search|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 13.3| 
Claim 6: |{ |Model, GPT-3.5-Turbo|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 58.3|
Claim 7: |{ |Model, GPT-3.5-Turbo|, |Method, iterative correction|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 52.7|
Claim 8: |{ |Model, GPT-3.5-Turbo|, |Method, tree search|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 56.2|
Claim 9: |{ |Model, GPT-3.5-Turbo|, |Method, re-ranking|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 18.0|
Claim 10: |{ |Model, GPT-3.5-Turbo|, |Method, iterative correction|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 17.3|
Claim 11: |{ |Model, GPT-3.5-Turbo|, |Method, tree search|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 14.0| 
Claim 12: |{ |Model, CodeLlama-13B-FT|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 61.5|
Claim 13: |{ |Model, CodeLlama-13B-FT|, |Method, iterative correction|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 51.7|
Claim 14: |{ |Model, CodeLlama-13B-FT|, |Method, tree search|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 56.0|
