Claim 0: |{ |Attack Method, Combination-1|, |LLM, GPT-3.5|, |Task, N/A| }, Attack Success Rate, 55.74|
Claim 1: |{ |Attack Method, Combination-1|, |LLM, Vicuna-13b|, |Task, N/A| }, Attack Success Rate, 57.18|
Claim 2: |{ |Attack Method, Combination-1|, |LLM, LLaMA-2-70b|, |Task, N/A| }, Attack Success Rate, 4.87|
Claim 3: |{ |Attack Method, Combination-1|, |LLM, mixtral-8x7b|, |Task, N/A| }, Attack Success Rate, 40.77| 
Claim 4: |{ |Attack Method, Prefix Injection|, |LLM, GPT-3.5|, |Task, N/A| }, Attack Success Rate, 34.36|
Claim 5: |{ |Attack Method, Prefix Injection|, |LLM, Vicuna-13b|, |Task, N/A| }, Attack Success Rate, 51.03|
Claim 6: |{ |Attack Method, Prefix Injection|, |LLM, LLaMA-2-70b|, |Task, N/A| }, Attack Success Rate, 6.41|
Claim 7: |{ |Attack Method, Prefix Injection|, |LLM, mixtral-8x7b|, |Task, N/A| }, Attack Success Rate, 49.23| 
Claim 8: |{ |Attack Method, Refusal Suppression|, |LLM, GPT-3.5|, |Task, N/A| }, Attack Success Rate, 29.74|
Claim 9: |{ |Attack Method, Refusal Suppression|, |LLM, Vicuna-13b|, |Task, N/A| }, Attack Success Rate, 51.54|
Claim 10: |{ |Attack Method, Refusal Suppression|, |LLM, LLaMA-2-70b|, |Task, N/A| }, Attack Success Rate, 5.13|
Claim 11: |{ |Attack Method, Refusal Suppression|, |LLM, mixtral-8x7b|, |Task, N/A| }, Attack Success Rate, 31.28| 
Claim 12: |{ |Attack Method, Combination-2|, |LLM, GPT-3.5|, |Task, N/A| }, Attack Success Rate, 36.41|
Claim 13: |{ |Attack Method, Combination-2|, |LLM, Vicuna-13b|, |Task, N/A| }, Attack Success Rate, 3.85|
Claim 14: |{ |Attack Method, Combination-2|, |LLM, LLaMA-2-70b|, |Task, N/A| }, Attack Success Rate, 2.05|
Claim 15: |{ |Attack Method, Combination-2|, |LLM, mixtral-8x7b|, |Task, N/A| }, Attack Success Rate, 1.03| 
Claim 16: |{ |Attack Method, AIM|, |LLM, GPT-3.5|, |Task, N/A| }, Attack Success Rate, 0.00|
Claim 17: |{ |Attack Method, AIM|, |LLM, Vicuna-13b|, |Task, N/A| }, Attack Success Rate, 64.87|
Claim 18: |{ |Attack Method, AIM|, |LLM, LLaMA-2-70b|, |Task, N/A| }, Attack Success Rate, 7.18|
Claim 19: |{ |Attack Method, AIM|, |LLM, mixtral-8x7b|, |Task, N/A| }, Attack Success Rate, 58.72| 
Claim 20: |{ |Attack Method, N/A|, |LLM, GPT-3.5|, |Task, N/A| }, Attack Success Rate, 2.82|
Claim 21: |{ |Attack Method, N/A|, |LLM, Vicuna-13b|, |Task, N/A| }, Attack Success Rate, 8.72|
Claim 22: |{ |Attack Method, N/A|, |LLM, LLaMA-2-70b|, |Task, N/A| }, Attack Success Rate, 0.51|
Claim 23: |{ |Attack Method, N/A|, |LLM, mixtral-8x7b|, |Task, N/A| }, Attack Success Rate, 7.95|
