Claim 0: |{ |Model, EXALT Baseline|, |Task, emotion detection| }, F1-score, 0.43|
Claim 1: |{ |Model, EXALT Baseline|, |Task, emotion detection| }, Precision, 0.43|
Claim 2: |{ |Model, EXALT Baseline|, |Task, emotion detection| }, Recall, 0.44| 
Claim 3: |{ |Model, ZSEC-gpt4turbo|, |Task, emotion detection| }, F1-score, 0.55|
Claim 4: |{ |Model, ZSEC-gpt4turbo|, |Task, emotion detection| }, Precision, 0.55|
Claim 5: |{ |Model, ZSEC-gpt4turbo|, |Task, emotion detection| }, Recall, 0.58| 
Claim 6: |{ |Model, ZSEC-gpt4o|, |Task, emotion detection| }, F1-score, 0.57|
Claim 7: |{ |Model, ZSEC-gpt4o|, |Task, emotion detection| }, Precision, 0.56|
Claim 8: |{ |Model, ZSEC-gpt4o|, |Task, emotion detection| }, Recall, 0.60| 
Claim 9: |{ |Model, MBCAWF|, |Task, emotion detection| }, F1-score, 0.56|
Claim 10: |{ |Model, MBCAWF|, |Task, emotion detection| }, Precision, 0.56|
Claim 11: |{ |Model, MBCAWF|, |Task, emotion detection| }, Recall, 0.59| 
Claim 12: |{ |Model, MIAWF-3|, |Task, emotion detection|, |Footnote, 4|}, F1-score, 0.59|
Claim 13: |{ |Model, MIAWF-3|, |Task, emotion detection|, |Footnote, 4|}, Precision, 0.59|
Claim 14: |{ |Model, MIAWF-3|, |Task, emotion detection|, |Footnote, 4|}, Recall, 0.61| 
Claim 15: |{ |Model, MIAWF-5|, |Task, emotion detection|, |Footnote, 5|}, F1-score, 0.60|
Claim 16: |{ |Model, MIAWF-5|, |Task, emotion detection|, |Footnote, 5|}, Precision, 0.59|
Claim 17: |{ |Model, MIAWF-5|, |Task, emotion detection|, |Footnote, 5|}, Recall, 0.62| 
Claim 18: |{ |Model, Ensemble-9|, |Task, emotion detection|, |Footnote, 6|}, F1-score, 0.59|
Claim 19: |{ |Model, Ensemble-9|, |Task, emotion detection|, |Footnote, 6|}, Precision, 0.59|
Claim 20: |{ |Model, Ensemble-9|, |Task, emotion detection|, |Footnote, 6|}, Recall, 0.61| 
Claim 21: |{ |Model, Ensemble-8|, |Task, emotion detection|, |Footnote, 7|}, F1-score, 0.60|
Claim 22: |{ |Model, Ensemble-8|, |Task, emotion detection|, |Footnote, 7|}, Precision, 0.60|
Claim 23: |{ |Model, Ensemble-8|, |Task, emotion detection|, |Footnote, 7|}, Recall, 0.62| 
Claim 24: |{ |Model, Ensemble-17|, |Task, emotion detection|, |Footnote, 8|}, F1-score, 0.60|
Claim 25: |{ |Model, Ensemble-17|, |Task, emotion detection|, |Footnote, 8|}, Precision, 0.60|
Claim 26: |{ |Model, Ensemble-17|, |Task, emotion detection|, |Footnote, 8|}, Recall, 0.62| 
Claim 27: |{ |Model, Ensemble-19|, |Task, emotion detection|, |Footnote, 9|}, F1-score, 0.60|
Claim 28: |{ |Model, Ensemble-19|, |Task, emotion detection|, |Footnote, 9|}, Precision, 0.60|
Claim 29: |{ |Model, Ensemble-19|, |Task, emotion detection|, |Footnote, 9|}, Recall, 0.62|
