Claim 0: |{|method, Manual prompts|, |dataset, ML-1M|, |task, item ranking|}, N@1, 0.03±0.02|
Claim 1: |{|method, Manual prompts|, |dataset, ML-1M|, |task, item ranking|}, N@5, 0.35±0.01|
Claim 2: |{|method, Manual prompts|, |dataset, ML-1M|, |task, item ranking|}, N@10, 0.41±0.01|
Claim 3: |{|method, Manual prompts|, |dataset, Games|, |task, item ranking|}, N@1, 0.04±0.01|
Claim 4: |{|method, Manual prompts|, |dataset, Games|, |task, item ranking|}, N@5, 0.30±0.02|
Claim 5: |{|method, Manual prompts|, |dataset, Games|, |task, item ranking|}, N@10, 0.35±0.02|
Claim 6: |{|method, Manual prompts|, |dataset, Lastfm|, |task, item ranking|}, N@1, 0.05±0.03|
Claim 7: |{|method, Manual prompts|, |dataset, Lastfm|, |task, item ranking|}, N@5, 0.39±0.01|
Claim 8: |{|method, Manual prompts|, |dataset, Lastfm|, |task, item ranking|}, N@10, 0.43±0.01| 
Claim 9: |{|method, Enumeration|, |dataset, ML-1M|, |task, item ranking|}, N@1, 0.04±0.00|
Claim 10: |{|method, Enumeration|, |dataset, ML-1M|, |task, item ranking|}, N@5, 0.36±0.00|
Claim 11: |{|method, Enumeration|, |dataset, ML-1M|, |task, item ranking|}, N@10, 0.42±0.01|
Claim 12: |{|method, Enumeration|, |dataset, Games|, |task, item ranking|}, N@1, 0.04±0.00|
Claim 13: |{|method, Enumeration|, |dataset, Games|, |task, item ranking|}, N@5, 0.34±0.01|
Claim 14: |{|method, Enumeration|, |dataset, Games|, |task, item ranking|}, N@10, 0.37±0.01|
Claim 15: |{|method, Enumeration|, |dataset, Lastfm|, |task, item ranking|}, N@1, 0.05±0.00|
Claim 16: |{|method, Enumeration|, |dataset, Lastfm|, |task, item ranking|}, N@5, 0.40±0.01|
Claim 17: |{|method, Enumeration|, |dataset, Lastfm|, |task, item ranking|}, N@10, 0.44±0.02| 
Claim 18: |{|method, Role-playing|, |dataset, ML-1M|, |task, item ranking|}, N@1, 0.76±0.01|
Claim 19: |{|method, Role-playing|, |dataset, ML-1M|, |task, item ranking|}, N@5, 0.80±0.01|
Claim 20: |{|method, Role-playing|, |dataset, ML-1M|, |task, item ranking|}, N@10, 0.84±0.01|
Claim 21: |{|method, Role-playing|, |dataset, Games|, |task, item ranking|}, N@1, 0.66±0.05|
Claim 22: |{|method, Role-playing|, |dataset, Games|, |task, item ranking|}, N@5, 0.72±0.05|
Claim 23: |{|method, Role-playing|, |dataset, Games|, |task, item ranking|}, N@10, 0.76±0.04|
Claim 24: |{|method, Role-playing|, |dataset, Lastfm|, |task, item ranking|}, N@1, 0.84±0.02|
