Claim 0: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 57.5|
Claim 1: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 51.7|
Claim 2: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 55.5|
Claim 3: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 13.3|
Claim 4: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 13.3|
Claim 5: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 13.3|
Claim 6: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 58.3|
Claim 7: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 52.7|
Claim 8: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 56.2|
Claim 9: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 18.0|
Claim 10: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 17.3|
Claim 11: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 14.0|
Claim 12: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 61.5|
Claim 13: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 51.7|
Claim 14: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 56.0|
Claim 15: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 14.3|
Claim 16: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 13.0|
Claim 17: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 13.0|
Claim 18: |{|Model, CodeLlama-13B, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 65.5|
Claim 19: |{|Model, CodeLlama-13B, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 62.0|
Claim 20: |{|Model, CodeLlama-13B, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 62.5|
Claim 21: |{|Model, CodeLlama-13B, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 21.0|
Claim 22: |{|Model, CodeLlama-13B, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 24.3|
Claim 23: |{|Model, CodeLlama-13B, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 22.7|
Claim 24: |{|Model, GPT-3.5-Turbo, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 67.0|
Claim 25: |{|Model, GPT-3.5-Turbo, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 67.5|
Claim 26: |{|Model, GPT-3.5-Turbo, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 66.0|
Claim 27: |{|Model, GPT-3.5-Turbo, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 22.3|
Claim 28: |{|Model, GPT-3.5-Turbo, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 25.0|
Claim 29: |{|Model, GPT-3.5-Turbo, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 22.7|
Claim 30: |{|Model, CodeLlama-13B-FT, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 70.3|
Claim 31: |{|Model, CodeLlama-13B-FT, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 68.0|
Claim 32: |{|Model, CodeLlama-13B-FT, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 67.5|
Claim 33: |{|Model, CodeLlama-13B-FT, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 23.7|
Claim 34: |{|Model, CodeLlama-13B-FT, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 26.3|
Claim 35: |{|Model, CodeLlama-13B-FT, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 21.7|
Claim 36: |{|Model, Oracle, |Dataset, Spider|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 71.0|
Claim 37: |{|Model, Oracle, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Re-ranking Acc, 27.0|
Claim 38: |{|Model, Oracle, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Iterative Correction Acc, 32.7|
Claim 39: |{|Model, Oracle, |Dataset, Bird|, |Task, Text-to-SQL Parsing|}, Tree Search Acc, 29.3|
