Claim 0: |{|Evaluation Type, Naive Discriminator|, |Model Name, CodeLlama-13B|, |Dataset, Spider|}, Discrimination accuracy, 58.2| 
Claim 1: |{|Evaluation Type, Naive Discriminator|, |Model Name, CodeLlama-13B|, |Dataset, Bird|}, Discrimination accuracy, 49.4| 
Claim 2: |{|Evaluation Type, Naive Discriminator|, |Model Name, CodeLlama-13B|, |Dataset, GSM8K|}, Discrimination accuracy, 62.2| 
Claim 3: |{|Evaluation Type, + Executability Check|, |Model Name, CodeLlama-13B|, |Dataset, Spider|}, Discrimination accuracy, 78.7| 
Claim 4: |{|Evaluation Type, + Executability Check|, |Model Name, CodeLlama-13B|, |Dataset, Bird|}, Discrimination accuracy, 78.8| 
Claim 5: |{|Evaluation Type, + Executability Check|, |Model Name, CodeLlama-13B|, |Dataset, GSM8K|}, Discrimination accuracy, 64.5| 
Claim 6: |{|Evaluation Type, ++ Execution Result|, |Model Name, CodeLlama-13B|, |Dataset, Spider|}, Discrimination accuracy, 83.6| 
Claim 7: |{|Evaluation Type, ++ Execution Result|, |Model Name, CodeLlama-13B|, |Dataset, Bird|}, Discrimination accuracy, 79.6| 
Claim 8: |{|Evaluation Type, ++ Execution Result|, |Model Name, CodeLlama-13B|, |Dataset, GSM8K|}, Discrimination accuracy, 70.6| 
Claim 9: |{|Evaluation Type, Improvement|, |Model Name, CodeLlama-13B|, |Dataset, Spider|}, Accuracy Gain, 25.4| 
Claim 10: |{|Evaluation Type, Improvement|, |Model Name, CodeLlama-13B|, |Dataset, Bird|}, Accuracy Gain, 30.2| 
Claim 11: |{|Evaluation Type, Improvement|, |Model Name, CodeLlama-13B|, |Dataset, GSM8K|}, Accuracy Gain, 8.4| 
Claim 12: |{|Evaluation Type, Naive Discriminator|, |Model Name, GPT-3.5-Turbo|, |Dataset, Spider|}, Accuracy, 67.0| 
Claim 13: |{|Evaluation Type, Naive Discriminator|, |Model Name, GPT-3.5-Turbo|, |Dataset, Bird|}, Accuracy, 64.3| 
Claim 14: |{|Evaluation Type, Naive Discriminator|, |Model Name, GPT-3.5-Turbo|, |Dataset, GSM8K|}, Accuracy, 72.1| 
Claim 15: |{|Evaluation Type, Discrimination Accuracy|, |Model Name, GPT-3.5-Turbo|, |Dataset, Spider|}, + Executability Check, 84.8| 
Claim 16: |{|Evaluation Type, + Executability Check|, |Model Name, GPT-3.5-Turbo|, |Dataset, Bird|}, Accuracy, 86.3| 
Claim 17: |{|Evaluation Type, + Executability Check|, |Model Name, GPT-3.5-Turbo|, |Dataset, GSM8K|}, Accuracy , 73.2| 
Claim 18: |{|Evaluation Type, ++ Execution Result |, |Model Name, GPT-3.5-Turbo|, |Dataset, Spider|}, Accuracy, 90.0| 
Claim 19: |{|Evaluation Type, ++ Execution Result |, |Model Name, GPT-3.5-Turbo|, |Dataset, Bird|}, Accuracy, 89.2| 
Claim 20: |{|Evaluation Type, ++ Execution Result |, |Model Name, GPT-3.5-Turbo|, |Dataset, GSM8K|}, Accuracy, 76.5| 
Claim 21: |{|Evaluation Type, Improvement|, |Model Name, GPT-3.5-Turbo|, |Dataset, Spider|}, Accuracy Gain, 23.0| 
Claim 22: |{|Evaluation Type, Improvement|, |Model Name, GPT-3.5-Turbo|, |Dataset, Bird|}, Accuracy Gain, 24.9| 
Claim 23: |{|Evaluation Type, Improvement|, |Model Name, GPT-3.5-Turbo|, |Dataset, GSM8K|}, Accuracy Gain, 4.4| 
Claim 24: |{|Evaluation Type, Naive Discriminator|, |Model Name, CodeLlama-13B-FT|, |Dataset, Spider|}, Accuracy, 69.7| 
Claim 25: |{|Evaluation Type, Naive Discriminator|, |Model Name, CodeLlama-13B-FT|, |Dataset, Bird|}, Accuracy, 62.1| 
Claim 26: |{|Evaluation Type, + Executability Check|, |Model Name, CodeLlama-13B-FT|, |Dataset, Spider|}, Accuracy, 83.6| 
Claim 27: |{|Evaluation Type, + Executability Check|, |Model Name, CodeLlama-13B-FT|, |Dataset, Bird|}, Accuracy, 82.2| 
Claim 28: |{|Evaluation Type, ++ Execution Result|, |Model Name, CodeLlama-13B-FT|, |Dataset, Spider|}, Accuracy, 88.5| 
Claim 29: |{|Evaluation Type, ++ Execution Result|, |Model Name, CodeLlama-13B-FT|, |Dataset, Bird|}, Accuracy, 85.1| 
Claim 30: |{|Evaluation Type, Improvement|, |Model Name, CodeLlama-13B-FT|, |Dataset, Spider|}, Accuracy Gain, 18.8| 
Claim 31: |{|Evaluation Type, Improvement|, |Model Name, CodeLlama-13B-FT|, |Dataset, Bird|}, Accuracy Gain, 23.0|
