Claim 0: |{|Attack Method, Combination-1|, |Model, GPT-3.5|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 55.74|
Claim 1: |{|Attack Method, Combination-1|, |Model, Vicuna-13b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 57.18|
Claim 2: |{|Attack Method, Combination-1|, |Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 4.87|
Claim 3: |{|Attack Method, Combination-1|, |Model, mixtral-8x7b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 40.77|
Claim 4: |{|Attack Method, Prefix Injection|, |Model, GPT-3.5|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 34.36|
Claim 5: |{|Attack Method, Prefix Injection|, |Model, Vicuna-13b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 51.03|
Claim 6: |{|Attack Method, Prefix Injection|, |Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 6.41|
Claim 7: |{|Attack Method, Prefix Injection|, |Model, mixtral-8x7b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 49.23|
Claim 8: |{|Attack Method, Refusal Suppression|, |Model, GPT-3.5|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 29.74|
Claim 9: |{|Attack Method, Refusal Suppression|, |Model, Vicuna-13b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 51.54|
Claim 10: |{|Attack Method, Refusal Suppression|, |Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 5.13|
Claim 11: |{|Attack Method, Refusal Suppression|, |Model, mixtral-8x7b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 31.28|
Claim 12: |{|Attack Method, Combination-2|, |Model, GPT-3.5|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 36.41|
Claim 13: |{|Attack Method, Combination-2|, |Model, Vicuna-13b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 3.85|
Claim 14: |{|Attack Method, Combination-2|, |Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 2.05|
Claim 15: |{|Attack Method, Combination-2|, |Model, mixtral-8x7b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 1.03|
Claim 16: |{|Attack Method, AIM|, |Model, GPT-3.5|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 0.0|
Claim 17: |{|Attack Method, AIM|, |Model, Vicuna-13b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 64.87|
Claim 18: |{|Attack Method, AIM|, |Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 7.18|
Claim 19: |{|Attack Method, AIM|, |Model, mixtral-8x7b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 58.72|
Claim 20: |{|Attack Method, N/A|, |Model, GPT-3.5|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 2.82|
Claim 21: |{|Attack Method, N/A|, |Model, Vicuna-13b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 8.72|
Claim 22: |{|Attack Method, N/A|, |Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 0.51|
Claim 23: |{|Attack Method, N/A|, |Model, mixtral-8x7b|, |Dataset, DAN|, |Task, Attack Success Rate Evaluation|}, ASR, 7.95|
