Claim 0: |{ |methods, Pop|, |dataset, ML-1M| }, N@1, 0.26|
Claim 1: |{ |methods, Pop|, |dataset, ML-1M| }, N@5, 0.60|
Claim 2: |{ |methods, Pop|, |dataset, ML-1M| }, N@10, 0.63|
Claim 3: |{ |methods, Pop|, |dataset, Games| }, N@1, 0.39|
Claim 4: |{ |methods, Pop|, |dataset, Games| }, N@5, 0.61|
Claim 5: |{ |methods, Pop|, |dataset, Games| }, N@10, 0.67|
Claim 6: |{ |methods, Pop|, |dataset, Lastfm| }, N@1, 0.78|
Claim 7: |{ |methods, Pop|, |dataset, Lastfm| }, N@5, 0.86|
Claim 8: |{ |methods, Pop|, |dataset, Lastfm| }, N@10, 0.88|
Claim 9: |{ |methods, BPRMF|, |dataset, ML-1M| }, N@1, 0.44|
Claim 10: |{ |methods, BPRMF|, |dataset, ML-1M| }, N@5, 0.71|
Claim 11: |{ |methods, BPRMF|, |dataset, ML-1M| }, N@10, 0.74|
Claim 12: |{ |methods, BPRMF|, |dataset, Games| }, N@1, 0.57|
Claim 13: |{ |methods, BPRMF|, |dataset, Games| }, N@5, 0.75|
Claim 14: |{ |methods, BPRMF|, |dataset, Games| }, N@10, 0.78|
Claim 15: |{ |methods, BPRMF|, |dataset, Lastfm| }, N@1, 0.71|
Claim 16: |{ |methods, BPRMF|, |dataset, Lastfm| }, N@5, 0.80|
Claim 17: |{ |methods, BPRMF|, |dataset, Lastfm| }, N@10, 0.84|
Claim 18: |{ |methods, SASRec|, |dataset, ML-1M| }, N@1, 0.68|
Claim 19: |{ |methods, SASRec|, |dataset, ML-1M| }, N@5, 0.84|
Claim 20: |{ |methods, SASRec|, |dataset, ML-1M| }, N@10, 0.85|
Claim 21: |{ |methods, SASRec|, |dataset, Games| }, N@1, 0.69|
Claim 22: |{ |methods, SASRec|, |dataset, Games| }, N@5, 0.83|
Claim 23: |{ |methods, SASRec|, |dataset, Games| }, N@10, 0.85|
Claim 24: |{ |methods, SASRec|, |dataset, Lastfm| }, N@1, 0.81|
Claim 25: |{ |methods, SASRec|, |dataset, Lastfm| }, N@5, 0.88|
Claim 26: |{ |methods, SASRec|, |dataset, Lastfm| }, N@10, 0.89|
Claim 27: |{ |methods, BM25|, |dataset, ML-1M| }, N@1, 0.08|
Claim 28: |{ |methods, BM25|, |dataset, ML-1M| }, N@5, 0.20|
Claim 29: |{ |methods, BM25|, |dataset, ML-1M| }, N@10, 0.43|
Claim 30: |{ |methods, BM25|, |dataset, Games| }, N@1, 0.27|
Claim 31: |{ |methods, BM25|, |dataset, Games| }, N@5, 0.45|
Claim 32: |{ |methods, BM25|, |dataset, Games| }, N@10, 0.57|
Claim 33: |{ |methods, BM25|, |dataset, Lastfm| }, N@1, 0.00|
Claim 34: |{ |methods, BM25|, |dataset, Lastfm| }, N@5, 0.00|
Claim 35: |{ |methods, BM25|, |dataset, Lastfm| }, N@10, 0.00|
Claim 36: |{ |methods, UniSRec|, |dataset, ML-1M| }, N@1, 0.12|
Claim 37: |{ |methods, UniSRec|, |dataset, ML-1M| }, N@5, 0.35|
Claim 38: |{ |methods, UniSRec|, |dataset, ML-1M| }, N@10, 0.47|
Claim 39: |{ |methods, UniSRec|, |dataset, Games| }, N@1, 0.25|
Claim 40: |{ |methods, UniSRec|, |dataset, Games| }, N@5, 0.45|
Claim 41: |{ |methods, UniSRec|, |dataset, Games| }, N@10, 0.56|
Claim 42: |{ |methods, UniSRec|, |dataset, Lastfm| }, N@1, 0.00|
Claim 43: |{ |methods, UniSRec|, |dataset, Lastfm| }, N@5, 0.00|
Claim 44: |{ |methods, UniSRec|, |dataset, Lastfm| }, N@10, 0.00|
Claim 45: |{ |methods, VQ-Rec|, |dataset, ML-1M| }, N@1, 0.10|
Claim 46: |{ |methods, VQ-Rec|, |dataset, ML-1M| }, N@5, 0.33|
Claim 47: |{ |methods, VQ-Rec|, |dataset, ML-1M| }, N@10, 0.47|
Claim 48: |{ |methods, VQ-Rec|, |dataset, Games| }, N@1, 0.14|
Claim 49: |{ |methods, VQ-Rec|, |dataset, Games| }, N@5, 0.33|
Claim 50: |{ |methods, VQ-Rec|, |dataset, Games| }, N@10, 0.48|
Claim 51: |{ |methods, VQ-Rec|, |dataset, Lastfm| }, N@1, 0.00|
Claim 52: |{ |methods, VQ-Rec|, |dataset, Lastfm| }, N@5, 0.00|
Claim 53: |{ |methods, VQ-Rec|, |dataset, Lastfm| }, N@10, 0.00|
Claim 54: |{ |methods, Manual prompts (task-wise)|, |dataset, ML-1M| }, N@1, 0.03±0.02|
Claim 55: |{ |methods, Manual prompts (task-wise)|, |dataset, ML-1M| }, N@5, 0.35±0.01|
Claim 56: |{ |methods, Manual prompts (task-wise)|, |dataset, ML-1M| }, N@10, 0.41±0.01|
Claim 57: |{ |methods, Manual prompts (task-wise)|, |dataset, Games| }, N@1, 0.04±0.01|
Claim 58: |{ |methods, Manual prompts (task-wise)|, |dataset, Games| }, N@5, 0.30±0.02|
Claim 59: |{ |methods, Manual prompts (task-wise)|, |dataset, Games| }, N@10, 0.35±0.02|
Claim 60: |{ |methods, Manual prompts (task-wise)|, |dataset, Lastfm| }, N@1, 0.05±0.03|
Claim 61: |{ |methods, Manual prompts (task-wise)|, |dataset, Lastfm| }, N@5, 0.39±0.01|
Claim 62: |{ |methods, Manual prompts (task-wise)|, |dataset, Lastfm| }, N@10, 0.43±0.01|
Claim 63: |{ |methods, Enumeration (task-wise)|, |dataset, ML-1M| }, N@1, 0.04±0.00|
Claim 64: |{ |methods, Enumeration (task-wise)|, |dataset, ML-1M| }, N@5, 0.36±0.00|
Claim 65: |{ |methods, Enumeration (task-wise)|, |dataset, ML-1M| }, N@10, 0.42±0.01|
Claim 66: |{ |methods, Enumeration (task-wise)|, |dataset, Games| }, N@1, 0.04±0.00|
Claim 67: |{ |methods, Enumeration (task-wise)|, |dataset, Games| }, N@5, 0.34±0.01|
Claim 68: |{ |methods, Enumeration (task-wise)|, |dataset, Games| }, N@10, 0.37±0.01|
Claim 69: |{ |methods, Enumeration (task-wise)|, |dataset, Lastfm| }, N@1, 0.05±0.00|
Claim 70: |{ |methods, Enumeration (task-wise)|, |dataset, Lastfm| }, N@5, 0.40±0.01|
