Claim 0: |{|Model Name, Flan-T5-Large|, |Setting, Zero|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 1: |{|Model Name, Flan-T5-Large|, |Setting, Few|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 2: |{|Model Name, Flan-T5-Large|, |Setting, Fine-tuning|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 3: |{|Model Name, Flan-T5-Large|, |Setting, RLTF|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 4: |{|Model Name, Vicuna-7B|, |Setting, Zero|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 5: |{|Model Name, Vicuna-7B|, |Setting, Few|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 6: |{|Model Name, Vicuna-7B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 7: |{|Model Name, Vicuna-7B|, |Setting, RLTF|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 8: |{|Model Name, LLaMA-2-13B|, |Setting, Zero|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 9: |{|Model Name, LLaMA-2-13B|, |Setting, Few|, |Task, OpenAGI|}, CLIP Score, 0.0612|
Claim 10: |{|Model Name, LLaMA-2-13B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, CLIP Score, 0.0608|
Claim 11: |{|Model Name, LLaMA-2-13B|, |Setting, RLTF|, |Task, OpenAGI|}, CLIP Score, 0.122|
Claim 12: |{|Model Name, Flan-T5-Large|, |Setting, Zero|, |Task, OpenAGI|}, BERT Score, 0.0|
Claim 13: |{|Model Name, Flan-T5-Large|, |Setting, Few|, |Task, OpenAGI|}, BERT Score, 0.2488|
Claim 14: |{|Model Name, Flan-T5-Large|, |Setting, Fine-tuning|, |Task, OpenAGI|}, BERT Score, 0.0|
Claim 15: |{|Model Name, Flan-T5-Large|, |Setting, RLTF|, |Task, OpenAGI|}, BERT Score, 0.0655|
Claim 16: |{|Model Name, Vicuna-7B|, |Setting, Zero|, |Task, OpenAGI|}, BERT Score, 0.0513|
Claim 17: |{|Model Name, Vicuna-7B|, |Setting, Few|, |Task, OpenAGI|}, BERT Score, 0.0|
Claim 18: |{|Model Name, Vicuna-7B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, BERT Score, 0.1212|
Claim 19: |{|Model Name, Vicuna-7B|, |Setting, RLTF|, |Task, OpenAGI|}, BERT Score, 0.1756|
Claim 20: |{|Model Name, LLaMA-2-13B|, |Setting, Zero|, |Task, OpenAGI|}, BERT Score, 0.0986|
Claim 21: |{|Model Name, LLaMA-2-13B|, |Setting, Few|, |Task, OpenAGI|}, BERT Score, 0.2281|
Claim 22: |{|Model Name, LLaMA-2-13B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, BERT Score, 0.157|
Claim 23: |{|Model Name, LLaMA-2-13B|, |Setting, RLTF|, |Task, OpenAGI|}, BERT Score, 0.2401|
Claim 24: |{|Model Name, Flan-T5-Large|, |Setting, Zero|, |Task, OpenAGI|}, ViT Score, 0.0|
Claim 25: |{|Model Name, Flan-T5-Large|, |Setting, Few|, |Task, OpenAGI|}, ViT Score, 0.0|
Claim 26: |{|Model Name, Flan-T5-Large|, |Setting, Fine-tuning|, |Task, OpenAGI|}, ViT Score, 0.6316|
Claim 27: |{|Model Name, Flan-T5-Large|, |Setting, RLTF|, |Task, OpenAGI|}, ViT Score, 0.6978|
Claim 28: |{|Model Name, Vicuna-7B|, |Setting, Zero|, |Task, OpenAGI|}, ViT Score, 0.1704|
Claim 29: |{|Model Name, Vicuna-7B|, |Setting, Few|, |Task, OpenAGI|}, ViT Score, 0.4285|
Claim 30: |{|Model Name, Vicuna-7B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, ViT Score, 0.5507|
Claim 31: |{|Model Name, Vicuna-7B|, |Setting, RLTF|, |Task, OpenAGI|}, ViT Score, 0.73|
Claim 32: |{|Model Name, LLaMA-2-13B|, |Setting, Zero|, |Task, OpenAGI|}, ViT Score, 0.3614|
Claim 33: |{|Model Name, LLaMA-2-13B|, |Setting, Few|, |Task, OpenAGI|}, ViT Score, 0.2558|
Claim 34: |{|Model Name, LLaMA-2-13B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, ViT Score, 0.6723|
Claim 35: |{|Model Name, LLaMA-2-13B|, |Setting, RLTF|, |Task, OpenAGI|}, ViT Score, 0.7584|
Claim 36: |{|Model Name, Flan-T5-Large|, |Setting, Zero|, |Task, OpenAGI|}, Overall, 0.0|
Claim 37: |{|Model Name, Flan-T5-Large|, |Setting, Few|, |Task, OpenAGI|}, Overall, 0.0829|
Claim 38: |{|Model Name, Flan-T5-Large|, |Setting, Fine-tuning|, |Task, OpenAGI|}, Overall, 0.2105|
Claim 39: |{|Model Name, Flan-T5-Large|, |Setting, RLTF|, |Task, OpenAGI|}, Overall, 0.2544|
Claim 40: |{|Model Name, Vicuna-7B|, |Setting, Zero|, |Task, OpenAGI|}, Overall, 0.0739|
Claim 41: |{|Model Name, Vicuna-7B|, |Setting, Few|, |Task, OpenAGI|}, Overall, 0.1428|
Claim 42: |{|Model Name, Vicuna-7B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, Overall, 0.2239|
Claim 43: |{|Model Name, Vicuna-7B|, |Setting, RLTF|, |Task, OpenAGI|}, Overall, 0.3018|
Claim 44: |{|Model Name, LLaMA-2-13B|, |Setting, Zero|, |Task, OpenAGI|}, Overall, 0.1533|
Claim 45: |{|Model Name, LLaMA-2-13B|, |Setting, Few|, |Task, OpenAGI|}, Overall, 0.1817|
Claim 46: |{|Model Name, LLaMA-2-13B|, |Setting, Fine-tuning|, |Task, OpenAGI|}, Overall, 0.2967|
Claim 47: |{|Model Name, LLaMA-2-13B|, |Setting, RLTF|, |Task, OpenAGI|}, Overall, 0.3735|
