Claim 0: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 7.44|
Claim 1: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 12.87|
Claim 2: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 13.95|
Claim 3: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 9.44|
Claim 4: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 8.77|
Claim 5: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 7.95|
Claim 6: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 11.69|
Claim 7: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 10.92|
Claim 8: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 6.05|
Claim 9: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 10.87|
Claim 10: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 3.49|
Claim 11: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 3.13|
Claim 12: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 12.31|
Claim 13: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 21.95|
Claim 14: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 22.82|
Claim 15: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 11.59|
Claim 16: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 14.05|
Claim 17: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 12.77|
Claim 18: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 26.0|
Claim 19: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 26.72|
Claim 20: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 26.15|
Claim 21: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 28.31|
Claim 22: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 28.67|
Claim 23: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 23.59|
Claim 24: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 13.33|
Claim 25: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 18.21|
Claim 26: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 22.31|
Claim 27: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 4.44|
Claim 28: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 1.0|
Claim 29: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.96|
Claim 30: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 9.24|
