Claim 0: |{|Emotion Label, Love|, |Model, Ensemble-19|, |Task, Emotion Detection|}, F1-score, 0.47|
Claim 1: |{|Emotion Label, Love|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Precision, 0.55|
Claim 2: |{|Emotion Label, Love|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Recall, 0.41|
Claim 3: |{|Emotion Label, Love|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Support, 190|
Claim 4: |{|Emotion Label, Joy|, |Model, Ensemble-19|, |Task, Emotion Detection|}, F1-score, 0.63|
Claim 5: |{|Emotion Label, Joy|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Precision, 0.55|
Claim 6: |{|Emotion Label, Joy|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Recall, 0.74|
Claim 7: |{|Emotion Label, Joy|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Support, 433|
Claim 8: |{|Emotion Label, Anger|, |Model, Ensemble-19|, |Task, Emotion Detection|}, F1-score, 0.73|
Claim 9: |{|Emotion Label, Anger|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Precision, 0.76|
Claim 10: |{|Emotion Label, Anger|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Recall, 0.7|
Claim 11: |{|Emotion Label, Anger|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Support, 614|
Claim 12: |{|Emotion Label, Fear|, |Model, Ensemble-19|, |Task, Emotion Detection|}, F1-score, 0.53|
Claim 13: |{|Emotion Label, Fear|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Precision, 0.44|
Claim 14: |{|Emotion Label, Fear|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Recall, 0.68|
Claim 15: |{|Emotion Label, Fear|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Support, 77|
Claim 16: |{|Emotion Label, Sadness|, |Model, Ensemble-19|, |Task, Emotion Detection|}, F1-score, 0.55|
Claim 17: |{|Emotion Label, Sadness|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Precision, 0.56|
Claim 18: |{|Emotion Label, Sadness|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Recall, 0.54|
Claim 19: |{|Emotion Label, Sadness|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Support, 270|
Claim 20: |{|Emotion Label, Neutral|, |Model, Ensemble-19|, |Task, Emotion Detection|}, F1-score, 0.72|
Claim 21: |{|Emotion Label, Neutral|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Precision, 0.76|
Claim 22: |{|Emotion Label, Neutral|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Recall, 0.68|
Claim 23: |{|Emotion Label, Neutral|, |Model, Ensemble-19|, |Task, Emotion Detection|}, Support, 916|
