Claim 0: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (0)|}, Acc. , 75.54|
Claim 1: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (0)|}, R , 90.40|
Claim 2: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (0)|}, P , 80.00|
Claim 3: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (0)|}, F1 , 84.88|
Claim 4: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (3)|}, Acc. , 69.53|
Claim 5: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (3)|}, R , 81.36|
Claim 6: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (3)|}, P , 79.12|
Claim 7: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Self-Check (3)|}, F1 , 80.23|
Claim 8: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, FACTOOL|}, Acc. , 74.25|
Claim 9: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, FACTOOL|}, R , 73.45|
Claim 10: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, FACTOOL|}, P , 90.91|
Claim 11: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, FACTOOL|}, F1 , 81.25|
Claim 12: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Our Method|}, Acc. , 77.68|
Claim 13: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Our Method|}, R , 80.79|
Claim 14: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Our Method|}, P , 88.82|
Claim 15: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Claim-Level| , |Method, Our Method|}, F1 , 84.62|
Claim 16: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (0)|}, Acc. , 54.00|
Claim 17: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (0)|}, R , 60.87|
Claim 18: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (0)|}, P , 50.00|
Claim 19: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (0)|}, F1 , 54.90|
Claim 20: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (3)|}, Acc. , 54.00|
Claim 21: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (3)|}, R , 47.83|
Claim 22: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (3)|}, P , 50.00|
Claim 23: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Self-Check (3)|}, F1 , 48.89|
Claim 24: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, FACTOOL|}, Acc. , 64.00|
Claim 25: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, FACTOOL|}, R , 43.48|
Claim 26: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, FACTOOL|}, P , 66.67|
Claim 27: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, FACTOOL|}, F1 , 52.63|
Claim 28: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Our Method|}, Acc. , 72.00|
Claim 29: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Our Method|}, R , 52.17|
Claim 30: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Our Method|}, P , 80.00|
Claim 31: |{|Dataset, Factool Chern et al. (2023)| , |Evaluation Level, Response-Level| , |Method, Our Method|}, F1 , 63.15|
