Claim 0: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, ML-1M|}, N@1, 0.03|
Claim 1: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, ML-1M|}, N@5, 0.35|
Claim 2: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, ML-1M|}, N@10, 0.41|
Claim 3: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, Games|}, N@1, 0.04|
Claim 4: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, Games|}, N@5, 0.36|
Claim 5: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, Games|}, N@10, 0.42|
Claim 6: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, Lastfm|}, N@1, 0.75|
Claim 7: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, Lastfm|}, N@5, 0.82|
Claim 8: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, Lastfm|}, N@10, 0.84|
Claim 9: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, ML-1M|}, N@1, 0.67|
Claim 10: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, ML-1M|}, N@5, 0.73|
Claim 11: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, ML-1M|}, N@10, 0.78|
Claim 12: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, Games|}, N@1, 0.78|
Claim 13: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, Games|}, N@5, 0.83|
Claim 14: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, Games|}, N@10, 0.85|
Claim 15: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, Lastfm|}, N@1, 0.72|
Claim 16: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, Lastfm|}, N@5, 0.77|
Claim 17: |{|Task, Ablation study on RPP+|, |Method, Enumeration|, |Dataset, Lastfm|}, N@10, 0.80|
Claim 18: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, ML-1M|}, N@1, 0.82|
Claim 19: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, ML-1M|}, N@5, 0.85|
Claim 20: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, ML-1M|}, N@10, 0.87|
Claim 21: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, Games|}, N@1, 0.04|
Claim 22: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, Games|}, N@5, 0.30|
Claim 23: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, Games|}, N@10, 0.35|
Claim 24: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, Lastfm|}, N@1, 0.04|
Claim 25: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, Lastfm|}, N@5, 0.34|
Claim 26: |{|Task, Ablation study on RPP+|, |Method, Role-playing+|, |Dataset, Lastfm|}, N@10, 0.37|
Claim 27: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, ML-1M|}, N@1, 0.74|
Claim 28: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, ML-1M|}, N@5, 0.79|
Claim 29: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, ML-1M|}, N@10, 0.82|
Claim 30: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, Games|}, N@1, 0.66|
Claim 31: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, Games|}, N@5, 0.74|
Claim 32: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, Games|}, N@10, 0.81|
Claim 33: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, Lastfm|}, N@1, 0.74|
Claim 34: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, Lastfm|}, N@5, 0.78|
Claim 35: |{|Task, Ablation study on RPP+|, |Method, History records+|, |Dataset, Lastfm|}, N@10, 0.81|
Claim 36: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, ML-1M|}, N@1, 0.76|
Claim 37: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, ML-1M|}, N@5, 0.79|
Claim 38: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, ML-1M|}, N@10, 0.80|
Claim 39: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, Games|}, N@1, 0.83|
Claim 40: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, Games|}, N@5, 0.85|
Claim 41: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, Games|}, N@10, 0.86|
Claim 42: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, Lastfm|}, N@1, 0.05|
Claim 43: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, Lastfm|}, N@5, 0.39|
Claim 44: |{|Task, Ablation study on RPP+|, |Method, Reasoning guidance+|, |Dataset, Lastfm|}, N@10, 0.43|
Claim 45: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, ML-1M|}, N@1, 0.05|
