Claim 0: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Zero"| }, CLIP Score, 0.0|

Claim 1: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Few"| }, CLIP Score, 0.0|

Claim 2: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Zero"| }, CLIP Score, 0.0|

Claim 3: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Few"| }, CLIP Score, 0.2543|

Claim 4: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Zero"| }, CLIP Score, 0.0|

Claim 5: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Few"| }, CLIP Score, 0.3055|

Claim 6: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Zero"| }, BERT Score, 0.1914|

Claim 7: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Few"| }, BERT Score, 0.3820|

Claim 8: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Zero"| }, BERT Score, 0.2111|

Claim 9: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Few"| }, BERT Score, 0.5038|

Claim 10: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Zero"| }, BERT Score, 0.2076|

Claim 11: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Few"| }, BERT Score, 0.6307|

Claim 12: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Zero"| }, ViT Score, 0.2437|

Claim 13: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Few"| }, ViT Score, 0.7497|

Claim 14: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Zero"| }, ViT Score, 0.4082|

Claim 15: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Few"| }, ViT Score, 0.5416|

Claim 16: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Zero"| }, ViT Score, 0.5058|

Claim 17: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Few"| }, ViT Score, 0.6480|

Claim 18: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Zero"| }, Overall, 0.1450|

Claim 19: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-3.5-turbo"|, |Shots, "Few"| }, Overall, 0.3772|

Claim 20: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Zero"| }, Overall, 0.2064|

Claim 21: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "Claude-2"|, |Shots, "Few"| }, Overall, 0.4332|

Claim 22: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Zero"| }, Overall, 0.2378|

Claim 23: |{ |task, "Performance on OpenAGI tasks under zero- and few-shot settings"|, |LLM, "GPT-4"|, |Shots, "Few"| }, Overall, 0.5281|
