Claim 0: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Zero"| }, CLIP Score, 0.0|
Claim 1: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Few"| }, CLIP Score, 0.0|
Claim 2: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Fine-tuning"| }, CLIP Score, 0.0|
Claim 3: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "RLTF"| }, CLIP Score, 0.0|
Claim 4: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Zero"| }, CLIP Score, 0.0|
Claim 5: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Few"| }, CLIP Score, 0.0|
Claim 6: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Fine-tuning"| }, CLIP Score, 0.0|
Claim 7: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "RLTF"| }, CLIP Score, 0.0|
Claim 8: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Zero"| }, CLIP Score, 0.0|
Claim 9: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Few"| }, CLIP Score, 0.0612|
Claim 10: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Fine-tuning"| }, CLIP Score, 0.0608|
Claim 11: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "RLTF"| }, CLIP Score, 0.1220|

Claim 12: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Zero"| }, BERT Score, 0.0|
Claim 13: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Few"| }, BERT Score, 0.2488|
Claim 14: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Fine-tuning"| }, BERT Score, 0.0|
Claim 15: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "RLTF"| }, BERT Score, 0.0655|
Claim 16: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Zero"| }, BERT Score, 0.0513|
Claim 17: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Few"| }, BERT Score, 0.0|
Claim 18: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Fine-tuning"| }, BERT Score, 0.1212|
Claim 19: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "RLTF"| }, BERT Score, 0.1756|
Claim 20: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Zero"| }, BERT Score, 0.0986|
Claim 21: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Few"| }, BERT Score, 0.2281|
Claim 22: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Fine-tuning"| }, BERT Score, 0.1570|
Claim 23: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "RLTF"| }, BERT Score, 0.2401|

Claim 24: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Zero"| }, ViT Score, 0.0|
Claim 25: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Few"| }, ViT Score, 0.0|
Claim 26: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Fine-tuning"| }, ViT Score, 0.6316|
Claim 27: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "RLTF"| }, ViT Score, 0.6978|
Claim 28: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Zero"| }, ViT Score, 0.1704|
Claim 29: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Few"| }, ViT Score, 0.4285|
Claim 30: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Fine-tuning"| }, ViT Score, 0.5507|
Claim 31: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "RLTF"| }, ViT Score, 0.7300|
Claim 32: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Zero"| }, ViT Score, 0.3614|
Claim 33: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Few"| }, ViT Score, 0.2558|
Claim 34: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Fine-tuning"| }, ViT Score, 0.6723|
Claim 35: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "RLTF"| }, ViT Score, 0.7584|

Claim 36: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Zero"| }, Overall, 0.0|
Claim 37: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Few"| }, Overall, 0.0829|
Claim 38: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "Fine-tuning"| }, Overall, 0.2105|
Claim 39: |{ |task, "OpenAGI tasks"|, |LLM, "Flan-T5-Large"|, |Method, "RLTF"| }, Overall, 0.2544|
Claim 40: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Zero"| }, Overall, 0.0739|
Claim 41: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Few"| }, Overall, 0.1428|
Claim 42: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "Fine-tuning"| }, Overall, 0.2239|
Claim 43: |{ |task, "OpenAGI tasks"|, |LLM, "Vicuna-7B"|, |Method, "RLTF"| }, Overall, 0.3018|
Claim 44: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Zero"| }, Overall, 0.1533|
Claim 45: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Few"| }, Overall, 0.1817|
Claim 46: |{ |task, "OpenAGI tasks"|, |LLM, "LLaMA-2-13B"|, |Method, "Fine-tuning"| }, Overall, 0.2967|
