Claim 0: |{ |Model, CodeLlama-13B|, |Setting, Naive Discriminator|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 58.2|
Claim 1: |{ |Model, CodeLlama-13B|, |Setting, Naive Discriminator|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 49.4|
Claim 2: |{ |Model, CodeLlama-13B|, |Setting, Naive Discriminator|, |Dataset, GSM8K|, |Task, N/A| }, Discrimination Accuracy, 62.2|

Claim 3: |{ |Model, GPT-3.5-Turbo|, |Setting, Naive Discriminator|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 67.0|
Claim 4: |{ |Model, GPT-3.5-Turbo|, |Setting, Naive Discriminator|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 64.3|
Claim 5: |{ |Model, GPT-3.5-Turbo|, |Setting, Naive Discriminator|, |Dataset, GSM8K|, |Task, N/A| }, Discrimination Accuracy, 72.1|

Claim 6: |{ |Model, CodeLlama-13B-FT|, |Setting, Naive Discriminator|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 69.7|
Claim 7: |{ |Model, CodeLlama-13B-FT|, |Setting, Naive Discriminator|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 62.1|

Claim 8: |{ |Model, CodeLlama-13B|, |Setting, +Executability Check|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 78.7|
Claim 9: |{ |Model, CodeLlama-13B|, |Setting, +Executability Check|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 78.8|
Claim 10: |{ |Model, CodeLlama-13B|, |Setting, +Executability Check|, |Dataset, GSM8K|, |Task, N/A| }, Discrimination Accuracy, 64.5|

Claim 11: |{ |Model, GPT-3.5-Turbo|, |Setting, +Executability Check|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 84.8|
Claim 12: |{ |Model, GPT-3.5-Turbo|, |Setting, +Executability Check|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 86.3|
Claim 13: |{ |Model, GPT-3.5-Turbo|, |Setting, +Executability Check|, |Dataset, GSM8K|, |Task, N/A| }, Discrimination Accuracy, 73.2|

Claim 14: |{ |Model, CodeLlama-13B-FT|, |Setting, +Executability Check|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 83.6|
Claim 15: |{ |Model, CodeLlama-13B-FT|, |Setting, +Executability Check|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 82.2|

Claim 16: |{ |Model, CodeLlama-13B|, |Setting, ++Execution Result|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 83.6|
Claim 17: |{ |Model, CodeLlama-13B|, |Setting, ++Execution Result|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 79.6|
Claim 18: |{ |Model, CodeLlama-13B|, |Setting, ++Execution Result|, |Dataset, GSM8K|, |Task, N/A| }, Discrimination Accuracy, 70.6|

Claim 19: |{ |Model, GPT-3.5-Turbo|, |Setting, ++Execution Result|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 90.0|
Claim 20: |{ |Model, GPT-3.5-Turbo|, |Setting, ++Execution Result|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 89.2|
Claim 21: |{ |Model, GPT-3.5-Turbo|, |Setting, ++Execution Result|, |Dataset, GSM8K|, |Task, N/A| }, Discrimination Accuracy, 76.5|

Claim 22: |{ |Model, CodeLlama-13B-FT|, |Setting, ++Execution Result|, |Dataset, Spider|, |Task, N/A| }, Discrimination Accuracy, 88.5|
Claim 23: |{ |Model, CodeLlama-13B-FT|, |Setting, ++Execution Result|, |Dataset, Bird|, |Task, N/A| }, Discrimination Accuracy, 85.1|

Claim 24: |{ |Model, CodeLlama-13B|, |Setting, Improvement|, |Dataset, Spider|, |Task, N/A| }, Accuracy Gain, 25.4|
Claim 25: |{ |Model, CodeLlama-13B|, |Setting, Improvement|, |Dataset, Bird|, |Task, N/A| }, Accuracy Gain, 30.2|
Claim 26: |{ |Model, CodeLlama-13B|, |Setting, Improvement|, |Dataset, GSM8K|, |Task, N/A| }, Accuracy Gain, 8.4|

Claim 27: |{ |Model, GPT-3.5-Turbo|, |Setting, Improvement|, |Dataset, Spider|, |Task, N/A| }, Accuracy Gain, 23.0|
Claim 28: |{ |Model, GPT-3.5-Turbo|, |Setting, Improvement|, |Dataset, Bird|, |Task, N/A| }, Accuracy Gain, 24.9|
Claim 29: |{ |Model, GPT-3.5-Turbo|, |Setting, Improvement|, |Dataset, GSM8K|, |Task, N/A| }, Accuracy Gain, 4.4|

Claim 30: |{ |Model, CodeLlama-13B-FT|, |Setting, Improvement|, |Dataset, Spider|, |Task, N/A| }, Accuracy Gain, 18.8|
Claim 31: |{ |Model, CodeLlama-13B-FT|, |Setting, Improvement|, |Dataset, Bird|, |Task, N/A| }, Accuracy Gain, 23.0|
