Claim 0: |{ |Method, Self-Check(0)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Accuracy, 75.54|
Claim 1: |{ |Method, Self-Check(0)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Recall, 90.40|
Claim 2: |{ |Method, Self-Check(0)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Precision, 80.00|
Claim 3: |{ |Method, Self-Check(0)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, F1, 84.88|

Claim 4: |{ |Method, Self-Check(0)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Accuracy, 54.00|
Claim 5: |{ |Method, Self-Check(0)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Recall, 60.87|
Claim 6: |{ |Method, Self-Check(0)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Precision, 50.00|
Claim 7: |{ |Method, Self-Check(0)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, F1, 54.90|

Claim 8: |{ |Method, Self-Check(3)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Accuracy, 69.53|
Claim 9: |{ |Method, Self-Check(3)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Recall, 81.36|
Claim 10: |{ |Method, Self-Check(3)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Precision, 79.12|
Claim 11: |{ |Method, Self-Check(3)|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, F1, 80.23|

Claim 12: |{ |Method, Self-Check(3)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Accuracy, 54.00|
Claim 13: |{ |Method, Self-Check(3)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Recall, 47.83|
Claim 14: |{ |Method, Self-Check(3)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Precision, 50.00|
Claim 15: |{ |Method, Self-Check(3)|, |Evaluation Level, Response-level|, |Dataset, Factool| }, F1, 48.89|

Claim 16: |{ |Method, FACTOOL|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Accuracy, 74.25|
Claim 17: |{ |Method, FACTOOL|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Recall, 73.45|
Claim 18: |{ |Method, FACTOOL|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Precision, 90.91|
Claim 19: |{ |Method, FACTOOL|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, F1, 81.25|

Claim 20: |{ |Method, FACTOOL|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Accuracy, 64.00|
Claim 21: |{ |Method, FACTOOL|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Recall, 43.48|
Claim 22: |{ |Method, FACTOOL|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Precision, 66.67|
Claim 23: |{ |Method, FACTOOL|, |Evaluation Level, Response-level|, |Dataset, Factool| }, F1, 52.63|

Claim 24: |{ |Method, Our Method|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Accuracy, 77.68|
Claim 25: |{ |Method, Our Method|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Recall, 80.79|
Claim 26: |{ |Method, Our Method|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, Precision, 88.82|
Claim 27: |{ |Method, Our Method|, |Evaluation Level, Claim-level|, |Dataset, Factool| }, F1, 84.62|

Claim 28: |{ |Method, Our Method|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Accuracy, 72.00|
Claim 29: |{ |Method, Our Method|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Recall, 52.17|
Claim 30: |{ |Method, Our Method|, |Evaluation Level, Response-level|, |Dataset, Factool| }, Precision, 80.00|
Claim 31: |{ |Method, Our Method|, |Evaluation Level, Response-level|, |Dataset, Factool| }, F1, 63.15|
