Claim 0: |{ |Method, HaluEval|, |Task, QA|, |Dataset, HaluEval| }, Acc, 56.00|
Claim 1: |{ |Method, HaluEval|, |Task, QA|, |Dataset, HaluEval| }, R, 77.33|
Claim 2: |{ |Method, HaluEval|, |Task, QA|, |Dataset, HaluEval| }, P, 54.21|
Claim 3: |{ |Method, HaluEval|, |Task, QA|, |Dataset, HaluEval| }, F1, 63.74|

Claim 4: |{ |Method, HaluEval|, |Task, Summarization|, |Dataset, HaluEval| }, Acc, 58.00|
Claim 5: |{ |Method, HaluEval|, |Task, Summarization|, |Dataset, HaluEval| }, R, 100.0|
Claim 6: |{ |Method, HaluEval|, |Task, Summarization|, |Dataset, HaluEval| }, P, 54.35|
Claim 7: |{ |Method, HaluEval|, |Task, Summarization|, |Dataset, HaluEval| }, F1, 70.42|

Claim 8: |{ |Method, HaluEval|, |Task, Dialogue|, |Dataset, HaluEval| }, Acc, 68.00|
Claim 9: |{ |Method, HaluEval|, |Task, Dialogue|, |Dataset, HaluEval| }, R, 75.71|
Claim 10: |{ |Method, HaluEval|, |Task, Dialogue|, |Dataset, HaluEval| }, P, 63.10|
Claim 11: |{ |Method, HaluEval|, |Task, Dialogue|, |Dataset, HaluEval| }, F1, 68.83|

Claim 12: |{ |Method, FACTOOL|, |Task, QA|, |Dataset, HaluEval| }, Acc, 67.33|
Claim 13: |{ |Method, FACTOOL|, |Task, QA|, |Dataset, HaluEval| }, R, 86.67|
Claim 14: |{ |Method, FACTOOL|, |Task, QA|, |Dataset, HaluEval| }, P, 62.50|
Claim 15: |{ |Method, FACTOOL|, |Task, QA|, |Dataset, HaluEval| }, F1, 72.63|

Claim 16: |{ |Method, FACTOOL|, |Task, Summarization|, |Dataset, HaluEval| }, Acc, 64.00|
Claim 17: |{ |Method, FACTOOL|, |Task, Summarization|, |Dataset, HaluEval| }, R, 48.00|
Claim 18: |{ |Method, FACTOOL|, |Task, Summarization|, |Dataset, HaluEval| }, P, 70.59|
Claim 19: |{ |Method, FACTOOL|, |Task, Summarization|, |Dataset, HaluEval| }, F1, 57.14|

Claim 20: |{ |Method, FACTOOL|, |Task, Dialogue|, |Dataset, HaluEval| }, Acc, 74.67|
Claim 21: |{ |Method, FACTOOL|, |Task, Dialogue|, |Dataset, HaluEval| }, R, 70.00|
Claim 22: |{ |Method, FACTOOL|, |Task, Dialogue|, |Dataset, HaluEval| }, P, 74.24|
Claim 23: |{ |Method, FACTOOL|, |Task, Dialogue|, |Dataset, HaluEval| }, F1, 72.06|

Claim 24: |{ |Method, Ours|, |Task, QA|, |Dataset, HaluEval| }, Acc, 70.67|
Claim 25: |{ |Method, Ours|, |Task, QA|, |Dataset, HaluEval| }, R, 82.67|
Claim 26: |{ |Method, Ours|, |Task, QA|, |Dataset, HaluEval| }, P, 66.67|
Claim 27: |{ |Method, Ours|, |Task, QA|, |Dataset, HaluEval| }, F1, 73.81|

Claim 28: |{ |Method, Ours|, |Task, Summarization|, |Dataset, HaluEval| }, Acc, 70.00|
Claim 29: |{ |Method, Ours|, |Task, Summarization|, |Dataset, HaluEval| }, R, 64.00|
Claim 30: |{ |Method, Ours|, |Task, Summarization|, |Dataset, HaluEval| }, P, 72.73|
Claim 31: |{ |Method, Ours|, |Task, Summarization|, |Dataset, HaluEval| }, F1, 68.09|

Claim 32: |{ |Method, Ours|, |Task, Dialogue|, |Dataset, HaluEval| }, Acc, 76.00|
Claim 33: |{ |Method, Ours|, |Task, Dialogue|, |Dataset, HaluEval| }, R, 62.86|
Claim 34: |{ |Method, Ours|, |Task, Dialogue|, |Dataset, HaluEval| }, P, 81.48|
Claim 35: |{ |Method, Ours|, |Task, Dialogue|, |Dataset, HaluEval| }, F1, 70.97|
