Claim 0: |{ |Method, Always Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, Acc, 65.00|
Claim 1: |{ |Method, Always Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, R, 84.21|
Claim 2: |{ |Method, Always Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, P, 59.26|
Claim 3: |{ |Method, Always Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, F1, 69.57|

Claim 4: |{ |Method, Always Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, Acc, 68.75|
Claim 5: |{ |Method, Always Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, R, 84.21|
Claim 6: |{ |Method, Always Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, P, 62.75|
Claim 7: |{ |Method, Always Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, F1, 71.91|

Claim 8: |{ |Method, True→Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, Acc, 67.50|
Claim 9: |{ |Method, True→Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, R, 89.47|
Claim 10: |{ |Method, True→Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, P, 60.71|
Claim 11: |{ |Method, True→Trust|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, F1, 72.34|

Claim 12: |{ |Method, True→Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, Acc, 70.00|
Claim 13: |{ |Method, True→Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, R, 86.84|
Claim 14: |{ |Method, True→Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, P, 63.46|
Claim 15: |{ |Method, True→Skeptic|, |Task, QA|, |Dataset, HaluEval (QA subset)| }, F1, 73.33|
