Claim 0: |{ |Attribute, Emotion|, |Gender, Male|, |Task, speech captioning| }, Precision, 84.3|
Claim 1: |{ |Attribute, Emotion|, |Gender, Male|, |Task, speech captioning| }, Recall, 85.4|
Claim 2: |{ |Attribute, Emotion|, |Gender, Male|, |Task, speech captioning| }, F1-score, 84.2|
Claim 3: |{ |Attribute, Emotion|, |Gender, Female|, |Task, speech captioning| }, Precision, 87.4|
Claim 4: |{ |Attribute, Emotion|, |Gender, Female|, |Task, speech captioning| }, Recall, 85.5|
Claim 5: |{ |Attribute, Emotion|, |Gender, Female|, |Task, speech captioning| }, F1-score, 86.0|

Claim 6: |{ |Attribute, Pitch|, |Gender, Male|, |Task, speech captioning| }, Precision, 88.2|
Claim 7: |{ |Attribute, Pitch|, |Gender, Male|, |Task, speech captioning| }, Recall, 82.8|
Claim 8: |{ |Attribute, Pitch|, |Gender, Male|, |Task, speech captioning| }, F1-score, 85.3|
Claim 9: |{ |Attribute, Pitch|, |Gender, Female|, |Task, speech captioning| }, Precision, 84.8|
Claim 10: |{ |Attribute, Pitch|, |Gender, Female|, |Task, speech captioning| }, Recall, 71.0|
Claim 11: |{ |Attribute, Pitch|, |Gender, Female|, |Task, speech captioning| }, F1-score, 75.9|

Claim 12: |{ |Attribute, Energy|, |Gender, Male|, |Task, speech captioning| }, Precision, 74.4|
Claim 13: |{ |Attribute, Energy|, |Gender, Male|, |Task, speech captioning| }, Recall, 60.0|
Claim 14: |{ |Attribute, Energy|, |Gender, Male|, |Task, speech captioning| }, F1-score, 65.0|
Claim 15: |{ |Attribute, Energy|, |Gender, Female|, |Task, speech captioning| }, Precision, 71.2|
Claim 16: |{ |Attribute, Energy|, |Gender, Female|, |Task, speech captioning| }, Recall, 54.9|
Claim 17: |{ |Attribute, Energy|, |Gender, Female|, |Task, speech captioning| }, F1-score, 60.9|

Claim 18: |{ |Attribute, Speed|, |Gender, Male|, |Task, speech captioning| }, Precision, 46.4|
Claim 19: |{ |Attribute, Speed|, |Gender, Male|, |Task, speech captioning| }, Recall, 43.1|
Claim 20: |{ |Attribute, Speed|, |Gender, Male|, |Task, speech captioning| }, F1-score, 44.6|
Claim 21: |{ |Attribute, Speed|, |Gender, Female|, |Task, speech captioning| }, Precision, 48.0|
Claim 22: |{ |Attribute, Speed|, |Gender, Female|, |Task, speech captioning| }, Recall, 30.6|
Claim 23: |{ |Attribute, Speed|, |Gender, Female|, |Task, speech captioning| }, F1-score, 37.3|
