Claim 0: |{|Model, PaLM-540B|, |Method, CoT|, |Dataset, HotpotQA|, |Tuning, No|}, Exact Match, 29.4|
Claim 1: |{|Model, PaLM-540B|, |Method, CoT-SC|, |Dataset, HotpotQA|, |Tuning, No|}, Exact Match, 33.4|
Claim 2: |{|Model, PaLM-540B|, |Method, ReAct|, |Dataset, HotpotQA|, |Tuning, No|}, Exact Match, 27.4|
Claim 3: |{|Model, PaLM-540B|, |Method, ReAct → CoT-SC|, |Dataset, HotpotQA|, |Tuning, No|}, Exact Match, 35.1|
Claim 4: |{|Model, GPT3-175B|, |Method, ReAct|, |Dataset, HotpotQA|, |Tuning, No|}, Exact Match, 30.8|
Claim 5: |{|Model, PaLM-62B|, |Method, ReAct-Tuning|, |Dataset, HotpotQA|, |Tuning, Yes|}, Exact Match, 32.6|
Claim 6: |{|Model, PaLM-62B|, |Method, CoT-Tuning|, |Dataset, HotpotQA|, |Tuning, Yes|}, Exact Match, 25.2|
Claim 7: |{|Model, PaLM-8B|, |Method, ReAct-Tuning|, |Dataset, HotpotQA|, |Tuning, Yes|}, Exact Match, 25.0|
Claim 8: |{|Model, PaLM-8B|, |Method, CoT-Tuning|, |Dataset, HotpotQA|, |Tuning, Yes|}, Exact Match, 14.1|
Claim 9: |{|Model, LLaMA-7B|, |Method, ReAct-Tuning|, |Dataset, HotpotQA|, |Tuning, Yes|}, Exact Match, 28.1|
Claim 10: |{|Model, LLaMA-7B|, |Method, LTC|, |Dataset, HotpotQA|, |Tuning, Yes|}, Exact Match, 33.2|
