|{|LLM, GPT-3.5|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 7.44|
|{|LLM, GPT-3.5|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 12.87|
|{|LLM, GPT-3.5|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 13.95|
|{|LLM, GPT-3.5|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 4.44|
|{|LLM, GPT-3.5|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 1.0|
|{|LLM, GPT-3.5|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 0.96|
|{|LLM, GPT-3.5|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 94.72|
|{|LLM, GPT-3.5|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 95.67|
|{|LLM, GPT-3.5|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 95.4|
|{|LLM, LLaMA-2-13b|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 9.44|
|{|LLM, LLaMA-2-13b|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 8.77|
|{|LLM, LLaMA-2-13b|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 7.95|
|{|LLM, LLaMA-2-13b|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 9.24|
|{|LLM, LLaMA-2-13b|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 6.58|
|{|LLM, LLaMA-2-13b|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 6.76|
|{|LLM, LLaMA-2-13b|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 90.71|
|{|LLM, LLaMA-2-13b|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 92.81|
|{|LLM, LLaMA-2-13b|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 92.91|
|{|LLM, LLaMA-2-70b|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 11.69|
|{|LLM, LLaMA-2-70b|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 10.92|
|{|LLM, LLaMA-2-70b|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 6.05|
|{|LLM, LLaMA-2-70b|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 3.0|
|{|LLM, LLaMA-2-70b|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 5.34|
|{|LLM, LLaMA-2-70b|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 13.12|
|{|LLM, LLaMA-2-70b|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 94.56|
|{|LLM, LLaMA-2-70b|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 93.09|
|{|LLM, LLaMA-2-70b|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 88.86|
|{|LLM, LLaMA-2-7b|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 10.87|
|{|LLM, LLaMA-2-7b|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 3.49|
|{|LLM, LLaMA-2-7b|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 3.13|
|{|LLM, LLaMA-2-7b|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 17.16|
|{|LLM, LLaMA-2-7b|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 40.26|
|{|LLM, LLaMA-2-7b|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 37.32|
|{|LLM, LLaMA-2-7b|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 84.6|
|{|LLM, LLaMA-2-7b|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 70.06|
|{|LLM, LLaMA-2-7b|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 72.27|
|{|LLM, mistral-7b-v0.2|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 12.31|
|{|LLM, mistral-7b-v0.2|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 21.95|
|{|LLM, mistral-7b-v0.2|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 22.82|
|{|LLM, mistral-7b-v0.2|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 3.98|
|{|LLM, mistral-7b-v0.2|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 0.36|
|{|LLM, mistral-7b-v0.2|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 0.6|
|{|LLM, mistral-7b-v0.2|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 93.68|
|{|LLM, mistral-7b-v0.2|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 93.58|
|{|LLM, mistral-7b-v0.2|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 93.17|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 11.59|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 14.05|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 12.77|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 2.22|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 0.32|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 0.44|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 95.15|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 95.83|
|{|LLM, mixtral-8x7b-v0.1|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 96.1|
|{|LLM, vicuna-13b-v1.5|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 26.0|
|{|LLM, vicuna-13b-v1.5|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 26.72|
|{|LLM, vicuna-13b-v1.5|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 26.15|
|{|LLM, vicuna-13b-v1.5|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 2.88|
|{|LLM, vicuna-13b-v1.5|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 0.3|
|{|LLM, vicuna-13b-v1.5|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 0.38|
|{|LLM, vicuna-13b-v1.5|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 90.63|
|{|LLM, vicuna-13b-v1.5|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 92.29|
|{|LLM, vicuna-13b-v1.5|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 92.39|
|{|LLM, vicuna-33b|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 28.31|
|{|LLM, vicuna-33b|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 28.67|
|{|LLM, vicuna-33b|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 23.59|
|{|LLM, vicuna-33b|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 2.4|
|{|LLM, vicuna-33b|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 0.72|
|{|LLM, vicuna-33b|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 1.64|
|{|LLM, vicuna-33b|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 90.33|
|{|LLM, vicuna-33b|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 91.44|
|{|LLM, vicuna-33b|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 92.2|
|{|LLM, vicuna-7b-v1.5|, |Metric, ASR|, |Submetric, 1 CoT|}, ASR, 13.33|
|{|LLM, vicuna-7b-v1.5|, |Metric, ASR|, |Submetric, 2 A|}, ASR, 18.21|
|{|LLM, vicuna-7b-v1.5|, |Metric, ASR|, |Submetric, 3 A|}, ASR, 22.31|
|{|LLM, vicuna-7b-v1.5|, |Metric, FPR|, |Submetric, 1 CoT|}, FPR, 37.84|
|{|LLM, vicuna-7b-v1.5|, |Metric, FPR|, |Submetric, 2 A|}, FPR, 5.18|
|{|LLM, vicuna-7b-v1.5|, |Metric, FPR|, |Submetric, 3 A|}, FPR, 2.4|
|{|LLM, vicuna-7b-v1.5|, |Metric, Accuracy|, |Submetric, 1 CoT|}, Accuracy, 69.04|
|{|LLM, vicuna-7b-v1.5|, |Metric, Accuracy|, |Submetric, 2 A|}, Accuracy, 91.17|
|{|LLM, vicuna-7b-v1.5|, |Metric, Accuracy|, |Submetric, 3 A|}, Accuracy, 92.01|x\
