Claim 0: |{|Model Name, GPT-3.5-turbo|, |Setting, Zero|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 1: |{|Model Name, GPT-3.5-turbo|, |Setting, Few|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 2: |{|Model Name, Claude-2|, |Setting, Zero|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 3: |{|Model Name, Claude-2|, |Setting, Few|, |Task, OpenAGI|}, CLIP Score, 0.2543|
Claim 4: |{|Model Name, GPT-4|, |Setting, Zero|, |Task, OpenAGI|}, CLIP Score, 0.0|
Claim 5: |{|Model Name, GPT-4|, |Setting, Few|, |Task, OpenAGI|}, CLIP Score, 0.3055|
Claim 6: |{|Model Name, GPT-3.5-turbo|, |Setting, Zero|, |Task, OpenAGI|}, BERT Score, 0.1914|
Claim 7: |{|Model Name, GPT-3.5-turbo|, |Setting, Few|, |Task, OpenAGI|}, BERT Score, 0.382|
Claim 8: |{|Model Name, Claude-2|, |Setting, Zero|, |Task, OpenAGI|}, BERT Score, 0.2111|
Claim 9: |{|Model Name, Claude-2|, |Setting, Few|, |Task, OpenAGI|}, BERT Score, 0.5038|
Claim 10: |{|Model Name, GPT-4|, |Setting, Zero|, |Task, OpenAGI|}, BERT Score, 0.2076|
Claim 11: |{|Model Name, GPT-4|, |Setting, Few|, |Task, OpenAGI|}, BERT Score, 0.6307|
Claim 12: |{|Model Name, GPT-3.5-turbo|, |Setting, Zero|, |Task, OpenAGI|}, ViT Score, 0.2437|
Claim 13: |{|Model Name, GPT-3.5-turbo|, |Setting, Few|, |Task, OpenAGI|}, ViT Score, 0.7497|
Claim 14: |{|Model Name, Claude-2|, |Setting, Zero|, |Task, OpenAGI|}, ViT Score, 0.4082|
Claim 15: |{|Model Name, Claude-2|, |Setting, Few|, |Task, OpenAGI|}, ViT Score, 0.5416|
Claim 16: |{|Model Name, GPT-4|, |Setting, Zero|, |Task, OpenAGI|}, ViT Score, 0.5058|
Claim 17: |{|Model Name, GPT-4|, |Setting, Few|, |Task, OpenAGI|}, ViT Score, 0.648|
Claim 18: |{|Model Name, GPT-3.5-turbo|, |Setting, Zero|, |Task, OpenAGI|}, Overall, 0.145|
Claim 19: |{|Model Name, GPT-3.5-turbo|, |Setting, Few|, |Task, OpenAGI|}, Overall, 0.3772|
Claim 20: |{|Model Name, Claude-2|, |Setting, Zero|, |Task, OpenAGI|}, Overall, 0.2064|
Claim 21: |{|Model Name, Claude-2|, |Setting, Few|, |Task, OpenAGI|}, Overall, 0.4332|
Claim 22: |{|Model Name, GPT-4|, |Setting, Zero|, |Task, OpenAGI|}, Overall, 0.2378|
Claim 23: |{|Model Name, GPT-4|, |Setting, Few|, |Task, OpenAGI|}, Overall, 0.5281|
