Claim 0: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Creative Writing Task|}, Coherent Score, 6.087 ± 2.229|
Claim 1: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Creative Writing Task|}, User Study, 14%|
Claim 2: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Creative Writing Task|}, Coherent Score, 6.193 ± 1.953|
Claim 3: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Creative Writing Task|}, User Study, 7%|
Claim 4: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Creative Writing Task|}, Coherent Score, 6.654 ± 2.201|
Claim 5: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Creative Writing Task|}, User Study, 21%|
Claim 6: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Creative Writing Task|}, Coherent Score, 6.927 ± 1.508|
Claim 7: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Creative Writing Task|}, User Study, 15%|
Claim 8: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Creative Writing Task|}, Coherent Score, 6.856 ± 1.975|
Claim 9: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Creative Writing Task|}, User Study, 26%|
Claim 10: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Creative Writing Task|}, Coherent Score, 7.684 ± 1.141|
Claim 11: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Creative Writing Task|}, User Study, 33%|
Claim 12: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Creative Writing Task|}, Coherent Score, 7.000 ± 1.783|
Claim 13: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Creative Writing Task|}, User Study, 39%|
Claim 14: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Creative Writing Task|}, Coherent Score, 7.989 ± 1.453|
Claim 15: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Creative Writing Task|}, User Study, 45%|
