Claim 0: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, discrimination accuracy|}, Accuracy, 58.2|
Claim 1: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 78.7|
Claim 2: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 83.6|
Claim 3: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, discrimination accuracy Improvement|}, Gain, 25.4|
Claim 4: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination accuracy|}, Accuracy, 49.4|
Claim 5: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 78.8|
Claim 6: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 79.6|
Claim 7: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination accuracy Improvement|}, Gain, 30.2|
Claim 8: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination accuracy|}, Accuracy, 62.2|
Claim 9: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 64.5|
Claim 10: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 70.6|
Claim 11: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination accuracy Improvement|}, Gain, 8.4|
Claim 12: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, discrimination accuracy|}, Accuracy, 67.0|
Claim 13: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 84.8|
Claim 14: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 90.0|
Claim 15: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, discrimination accuracy Improvement|}, Gain, 23.0|
Claim 16: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination accuracy|}, Accuracy, 64.3|
Claim 17: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 86.3|
Claim 18: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 89.2|
Claim 19: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination accuracy Improvement|}, Gain, 24.9|
Claim 20: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination accuracy|}, Accuracy, 72.1|
Claim 21: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 73.2|
Claim 22: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 76.5|
Claim 23: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination accuracy Improvement|}, Gain, 4.4|
Claim 24: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, discrimination accuracy|}, Accuracy, 69.7|
Claim 25: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 83.6|
Claim 26: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 88.5|
Claim 27: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, discrimination accuracy Improvement|}, Gain, 18.8|
Claim 28: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination accuracy|}, Accuracy, 62.1|
Claim 29: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination accuracy with Executability Check|}, Accuracy, 82.2|
Claim 30: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination accuracy with Execution Result|}, Accuracy, 85.1|
Claim 31: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination accuracy Improvement|}, Gain, 23.0|
Claim 32: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination accuracy|}, Accuracy, nan|
Claim 33: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination accuracy with Executability Check|}, Accuracy, nan|
Claim 34: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination accuracy with Execution Result|}, Accuracy, nan|
Claim 35: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination accuracy Improvement|}, Gain, nan|
