Claim 0: |{|Model, EXALT Baseline|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.43|
Claim 1: |{|Model, EXALT Baseline|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.43|
Claim 2: |{|Model, EXALT Baseline|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.44|
Claim 3: |{|Model, ZSEC-gpt4turbo|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.55|
Claim 4: |{|Model, ZSEC-gpt4turbo|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.55|
Claim 5: |{|Model, ZSEC-gpt4turbo|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.58|
Claim 6: |{|Model, ZSEC-gpt4o|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.57|
Claim 7: |{|Model, ZSEC-gpt4o|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.56|
Claim 8: |{|Model, ZSEC-gpt4o|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.6|
Claim 9: |{|Model, MBCAWF|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.56|
Claim 10: |{|Model, MBCAWF|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.56|
Claim 11: |{|Model, MBCAWF|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.59|
Claim 12: |{|Model, MIAWF-3|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.59|
Claim 13: |{|Model, MIAWF-3|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.59|
Claim 14: |{|Model, MIAWF-3|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.61|
Claim 15: |{|Model, MIAWF-5|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.6|
Claim 16: |{|Model, MIAWF-5|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.59|
Claim 17: |{|Model, MIAWF-5|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.62|
Claim 18: |{|Model, Ensemble-9|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.59|
Claim 19: |{|Model, Ensemble-9|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.59|
Claim 20: |{|Model, Ensemble-9|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.61|
Claim 21: |{|Model, Ensemble-8|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.6|
Claim 22: |{|Model, Ensemble-8|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.6|
Claim 23: |{|Model, Ensemble-8|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.62|
Claim 24: |{|Model, Ensemble-17|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.6|
Claim 25: |{|Model, Ensemble-17|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.6|
Claim 26: |{|Model, Ensemble-17|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.62|
Claim 27: |{|Model, Ensemble-19|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, F1-score, 0.6|
Claim 28: |{|Model, Ensemble-19|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Precision, 0.6|
Claim 29: |{|Model, Ensemble-19|, |Dataset, Test Dataset|, |Task, Emotion Detection|}, Recall, 0.62|
