Metric,Occurences
+ Executability Check,8
++ Execution Result,8
ANQ,39
ASR,47
Acc,16
Acc.,12
Accuracy,15
Accuracy Gain,8
BERT Score,24
BERTScore,3
CLIP Score,24
Coherent Score,8
Decision Failure,4
F1,28
F1-score,38
H@1,16
Hallucinated Tool Fix Ratio,4
Hallucinated Tool Ratio,4
Iter. Correct.,21
MRR,16
N@1,78
N@10,78
N@5,78
Overall,24
P,11
P.,1
Pass Rate,7
Precision,38
Preference Rank,7
R,12
Re-ranking,21
Recall,38
Support,6
Tool Call Error Fix Ratio,4
Tool Call Error Ratio,4
Tool Failure Fix Ratio,1
User Study,8
ViT Score,24
|Task,36
