Metric,Occurences
ANQ,39
ASR,84
ASR (%),9
Acc,18
Acc.,25
Accuracy,84
BERT Score,35
BERTScore,6
CLIP Score,35
Coherent Score,8
Decision Failure,4
EM score,11
F1,39
F1-score,28
FPR,30
FR,42
Gain,9
H@1,18
Hallucinated Tool Fix Ratio,4
Hallucinated Tool Ratio,4
MRR,18
N@1,39
N@10,39
N@5,39
OLR,42
OR,42
Outcome,63
Overall,35
P,21
Pass Rate (%),7
Precision,28
Pref. Rank,7
R,21
Recall,28
Support,6
Token Count,6
Tool Call Error Fix Ratio,4
Tool Call Error Ratio,4
Unavailable Tool,4
User Study,8
ViT Score,35
