Metric,Occurences
ANQ,39
ASR,69
Acc,29
Acc.,4
Accuracy,41
Accuracy Gain,8
Attack Success Rate,24
BERT Score,24
BERTScore,5
CLIP Score,24
Coherent Score (mean),8
Coherent Score (std dev),8
Decision Failure,4
Discrimination Accuracy,24
EM,11
Execution Accuracy,42
F1,37
F1-score,28
FPR,30
FR [Unresolved],42
H@1,16
Hallucinated Tool Fix Ratio,4
Hallucinated Tool Ratio,4
MRR,16
N@1,75
N@10,75
N@5,75
OLR [Over-Length Rate],42
OR [Unresolved],42
Overall,24
P,13
Pass Rate,7
Precision,36
Pref. Rank,6
R,13
Recall,36
Support,6
Token Count,6
Tool Call Error Fix Ratio,4
Tool Call Error Ratio,4
Unavailable Tool,4
User Study,8
ViT Score,24
