Name,Value,Occurrences
agent configuration,Single Agent (CoT),2
agent configuration,3 Agents,2
agent configuration,4 Agents w/ LlamaGuard,2
attack method,Combination-1,4
attack method,Prefix Injection,4
attack method,Refusal Suppression,4
attack method,Combination-2,4
attack method,AIM,4
attack method,N/A,4
attribute,Emotion,6
attribute,Pitch,6
attribute,Energy,6
attribute,Speed,6
dataset,"""ToolBench""",37
dataset,ML-1M,75
dataset,Games,75
dataset,Lastfm,75
dataset,N/A,11
dataset,Factool,32
dataset,HaluEval,36
dataset,HaluEval (QA subset),16
dataset,Spider,57
dataset,Bird,57
dataset,GSM8K,24
dataset,GSM8k,2
dataset,Hotpot-QA,2
dataset,Alfworld,2
emotion,Love,4
emotion,Joy,4
emotion,Anger,4
emotion,Fear,4
emotion,Sadness,4
emotion,Neutral,4
evaluation level,Claim-level,16
evaluation level,Response-level,16
footnote,4,3
footnote,5,3
footnote,6,3
footnote,7,3
footnote,8,3
footnote,9,3
gender,Male,12
gender,Female,12
llm,GPT-3.5,15
llm,Vicuna-13b,6
llm,LLaMA-2-70b,15
llm,mixtral-8x7b,6
llm,Vicuna-7b-v1.5,10
llm,LLaMa-2-7b-chat-hf,10
llm,GPT-3.5-turbo-1106,10
llm,GPT-4-1106-preview,10
llm,Gemini-Pro,10
llm,Claude-3.5-sonnet,10
llm,"""Flan-T5-Large""",16
llm,"""Vicuna-7B""",16
llm,"""LLaMA-2-13B""",16
llm,LLaMA-2-13b,9
llm,LLaMA-2-7b,15
llm,mistral-7b-v0.2,9
llm,mixtral-8x7b-v0.1,9
llm,vicuna-13b-v1.5,9
llm,vicuna-33b,9
llm,vicuna-7b-v1.5,9
llm,"""GPT-3.5-turbo""",16
llm,"""Claude-2""",16
llm,"""GPT-4""",16
llm-backend,PaLM-2,36
llm-backend,GPT-3.5,57
llm-backend,GPT-4,57
memory capacity,0,2
memory capacity,1,2
memory capacity,10,2
memory capacity,25,2
memory capacity,50,2
memory tags,Default,2
memory tags,w/o Cat,2
memory tags,w/o Que,2
memory tags,w/o Cat & Que,2
method,"""CoT [Chain-of-Thought]""",1
method,"""CoT@3 [Chain-of-Thought with multiple attempts]""",8
method,"""Reflexion [Self-reflection approach]""",2
method,"""BFS [Breadth-First Search]""",8
method,"""DFS [Depth-First Search]""",1
method,"""DFSDT [Unresolved]""",8
method,"""RaDAgent [Unresolved]""",7
method,Manual prompts,18
method,Enumeration,18
method,Role-playing+,9
method,History records+,9
method,Reasoning guidance+,9
method,Output format+,9
method,RPP+,9
method,Pop,9
method,BPRMF,9
method,SASRec,9
method,BM25,9
method,UniSRec,9
method,VQ-Rec,9
method,Manual prompts (task-wise),9
method,Enumeration (task-wise),9
method,RPP (instance-wise),9
method,Improvement,18
method,RPP+ (instance-wise),9
method,IO,33
method,CoT,33
method,BaG,27
method,TP,33
method,ToT,24
method,Speech-GPT3.5,4
method,PerceptiveAgent,4
method,-w/o captions,3
method,CoT [61],1
method,CoT-SC [55],1
method,ReAct [65],1
method,ReAct → CoT-SC,1
method,ReAct,1
method,ReAct-Tuning,3
method,CoT-Tuning,2
method,LTC,4
method,RedAgent,18
method,Self-Check(0),8
method,Self-Check(3),8
method,FACTOOL,20
method,Our Method,8
method,PAIR,12
method,TAP,12
method,PAP,12
method,GPTFuzzer,12
method,RedAgent (Ours),12
method,Role-playing,9
method,History records,9
method,Reasoning guidance,9
method,RPP,9
method,HaluEval,12
method,Ours,12
method,Always Skeptic,4
method,Always Trust,4
method,True→Trust,4
method,True→Skeptic,4
method,"""Zero""",12
method,"""Few""",12
method,"""Fine-tuning""",12
method,"""RLTF""",12
method,re-ranking,14
method,iterative correction,14
method,tree search,14
method,"""RaDAgent - Rand. Select [Unresolved]""",1
method,"""RaDAgent - Elo Select [Unresolved]""",1
method,ICL,3
model,PaLM-540B,4
model,GPT3-175B,1
model,PaLM-62B,2
model,PaLM-8B,2
model,LLaMA-7B,2
model,CodeLlama-13B,30
model,GPT-3.5-Turbo,30
model,CodeLlama-13B-FT,22
model,CodeLlama-13B (E),6
model,GPT-3.5-Turbo (E),6
model,CodeLlama-13B-FT (E),6
model,Oracle Simulation (τ=1.0),6
model,Ensemble-19,27
model,ZeroShot (gpt-4-turbo),4
model,ZeroShot (gpt-4o),4
model,ZSE (gpt-4o),4
model,ZSEC (gpt-4o),4
model,CodeLlama-7B,12
model,CodeLlama-7B-FT,8
model,GPT-4-Turbo,12
model,EXALT Baseline,3
model,ZSEC-gpt4turbo,3
model,ZSEC-gpt4o,3
model,MBCAWF,3
model,MIAWF-3,3
model,MIAWF-5,3
model,Ensemble-9,3
model,Ensemble-8,3
model,Ensemble-17,3
prompt,"""Prompt-1""",12
prompt,"""Prompt-2""",12
setting,Naive Discriminator,8
setting,+Executability Check,8
setting,++Execution Result,8
setting,Improvement,8
shots,0,42
shots,1,42
shots,5,42
shots,1 CoT,27
shots,2 A,27
shots,3 A,27
shots,"""Zero""",12
shots,"""Few""",12
task,"""Complex task solving""",13
task,item ranking,117
task,N/A,56
task,Shortest-path Reasoning,126
task,empathetic speech generation,6
task,HotpotQA,11
task,jailbreaking,78
task,QA,28
task,Summarization,12
task,Dialogue,12
task,"""Tool-based decision-making tasks""",24
task,Creative Writing,24
task,"""OpenAGI tasks""",48
task,speech captioning,29
task,text-to-SQL parsing,42
task,defending harmful requests,81
task,emotion detection,70
task,"""Performance on OpenAGI tasks under zero- and few-shot settings""",24
task,Discrimination,64
task,"""Zero-shot performances under various prompts""",24
task,evaluating token usage in input prompts,6
task,multi-agent defense,6
