Distributions of name in specifications
Name,Occurences
attack method,8
attribute,54
dataset,476
defense method,8
evaluation type,96
failure,24
learning schema,72
level,32
llm-backend,16
memory capacity,10
memory tags,8
method,230
methods,171
model,78
model name,277
model type,221
prompt type,24
set,54
task,52

Distributions of values for each name of each specification
Name,Value,Occurrences
attack method,Combination-1,8
attribute,Gender,6
attribute,Emotion,12
attribute,Pitch,12
attribute,Energy,12
attribute,Speed,12
dataset,ToolBench,13
dataset,ML-1M,78
dataset,Games,78
dataset,Lastfm,78
dataset,Factool,32
dataset,HaluEval,36
dataset,Spider,36
dataset,Bird,36
dataset,GSM8K,24
dataset,Spider (GreedyGen=62.3),21
dataset,Bird (GreedyGen=16.0),20
dataset,Emotion Labels,24
defense method,No Defense,1
defense method,OpenAIModerationAPI,1
defense method,SelfDefense,1
defense method,System-ModeSelf-Reminder,1
defense method,LlamaGuard(ResponseOnly),1
defense method,LlamaGuard(Prompt+Response),1
defense method,Single-AgentDefense(Ours),1
defense method,Three-AgentDefense(Ours),1
evaluation type,Naive Discriminator,8
evaluation type,+ Executability Check,7
evaluation type,++ Execution Result,8
evaluation type,Improvement,8
evaluation type,Discrimination Accuracy,1
evaluation type,Intrinsic,64
failure,Hallucinated Tool,8
failure,Tool Call Error,8
failure,Unavailable Tool,4
failure,Decision Failure,4
learning schema,Zero,24
learning schema,Few,24
learning schema,Fine-tuning,12
learning schema,RLTF,12
level,Claim-Level,16
level,Response-Level,16
llm-backend,GPT-3.5,8
llm-backend,GPT-4,8
memory capacity,0,2
memory capacity,1,2
memory capacity,10,2
memory capacity,25,2
memory capacity,50,2
memory tags,Default,2
memory tags,w/o Cat,2
memory tags,w/o Que,2
memory tags,w/o Cat & Que,2
method,Manual prompts,9
method,Enumeration,9
method,Role-playing+,9
method,History records+,9
method,Reasoning guidance+,9
method,Output format+,9
method,RPP+,9
method,Self-Check (0),8
method,Self-Check (3),8
method,FACTOOL,20
method,Our Method,8
method,PAIR,11
method,TAP,12
method,PAP,12
method,GPTFuzzer,12
method,RedAgent (Ours),12
method,HaluEval,12
method,Ours,12
method,Always Skeptic,4
method,Always Trust,4
method,True → Trust,4
method,True → Skeptic,4
method,CoT@3,6
method,BFS,6
method,DFSDT,6
method,RADAGENT,6
methods,Pop,9
methods,BPRMF,9
methods,SASRec,9
methods,BM25,9
methods,UniSRec,9
methods,VQ-Rec,9
methods,Manual prompts (task-wise),9
methods,Enumeration (task-wise),9
methods,RPP (instance-wise),9
methods,RPP Improvement,9
methods,RPP+ (instance-wise),9
methods,RPP+ Improvement,9
methods,Manual prompts,9
methods,Enumeration,9
methods,Role-playing,9
methods,History records,9
methods,Reasoning guidance,9
methods,Output format,9
methods,RPP,9
model,RedAgent,18
model,Vicuna-7b-v1.5,10
model,LLaMa-2-7b-chat-hf,10
model,GPT-3.5-turbo-1106,10
model,GPT-4-1106-preview,10
model,Gemini-Pro,10
model,Claude-3.5-sonnet,10
model name,CoT,1
model name,CoT@3,2
model name,Reflexion,2
model name,BFS,2
model name,DFS,1
model name,DFSDT,2
model name,RaDAgent,1
model name,ChatGPT-3.5,8
model name,Speech-GPT3.5,2
model name,PerceptiveAgent,2
model name,-w/o captions,2
model name,CodeLlama-13B,30
model name,GPT-3.5-Turbo,30
model name,CodeLlama-13B-FT,22
model name,Flan-T5-Large,16
model name,Vicuna-7B,16
model name,LLaMA-2-13B,16
model name,CodeLlama-13BE,6
model name,GPT-3.5-TurboE,6
model name,CodeLlama-13B-FTE,6
model name,Oracle Simulation (τ=1.0),6
model name,GPT-3.5-turbo,16
model name,Claude-2,16
model name,GPT-4,16
model name,RaDagent -Rand. Select,1
model name,RaDagent -Elo Select,1
model name,gpt-4-turbo,4
model name,gpt-4o,12
model name,CodeLlama-7B,12
model name,CodeLlama-7B-FT,8
model name,GPT-4-Turbo,12
model type,Reasoning Approach,7
model type,Open-source LLM,48
model type,LLM,42
model type,Ensemble-19,27
model type,Closed-source LLM,24
model type,Solution Ranking,6
model type,ZeroShot,8
model type,ZSE,4
model type,ZSEC,4
model type,General LLM,24
model type,EXALT Baseline,3
model type,ZSEC-gpt4turbo,3
model type,ZSEC-gpt4o,3
model type,MBCAWF,3
model type,MIAWF-3,3
model type,MIAWF-5,3
model type,Ensemble-9,3
model type,Ensemble-8,3
model type,Ensemble-17,3
prompt type,Prompt-1,12
prompt type,Prompt-2,12
set,Validation,15
set,Test,15
set,Male,12
set,Female,12
task,QA,12
task,Summarization,12
task,Dialogue,12
task,IO,4
task,CoT,4
task,ToT,4
task,TP,4

Distributions of metrics
Metric,Occurences
+ Executability Check,1
ANQ,39
ASR,42
ASR(%),5
Acc,16
Acc.,21
Accuracy,21
Accuracy Gain,8
BERT Score,24
BERTScore,3
CLIP Score,24
Coherent Score,8
Discrimination accuracy,9
F1,37
F1-score,38
Fix Ratio,8
H@1,16
Iter. Correct,3
Iter. Correct.,11
MRR,16
N@1,78
N@10,78
N@5,78
Overall,24
P,20
P.,1
Pass Rate(%),7
Precision,38
Pref. Rank,6
R,21
Ratio,16
Re-ranking,12
Re-ranking.,2
Recall,38
Support,6
Tree Search,14
User Study,8
ViT Score,24
