Claim 0:|{|Model, PaLM-540B|, |Method, CoT[61]|, |Dataset, HotpotQA|}, EM Score, 29.4|
Claim 1:|{|Model, PaLM-540B|, |Method, CoT-SC[55]|, |Dataset, HotpotQA|}, EM Score, 33.4|
Claim 2:|{|Model, PaLM-540B|, |Method, ReAct[65]|, |Dataset, HotpotQA|}, EM Score, 27.4|
Claim 3:|{|Model, PaLM-540B|, |Method, ReAct → CoT-SC|, |Dataset, HotpotQA|}, EM Score, 35.1|
Claim 4:|{|Model, GPT3-175B|, |Method, ReAct|, |Dataset, HotpotQA|}, EM Score, 30.8|
Claim 5:|{|Model, PaLM-62B|, |Method, ReAct-Tuning|, |Dataset, HotpotQA|}, EM Score, 32.6|
Claim 6:|{|Model, PaLM-62B|, |Method, CoT-Tuning|, |Dataset, HotpotQA|}, EM Score, 25.2|
Claim 7:|{|Model, PaLM-8B|, |Method, ReAct-Tuning|, |Dataset, HotpotQA|}, EM Score, 25.0|
Claim 8:|{|Model, PaLM-8B|, |Method, CoT-Tuning|, |Dataset, HotpotQA|}, EM Score, 14.0|
Claim 9:|{|Model, LLaMA-7B|, |Method, ReAct-Tuning|, |Dataset, HotpotQA|}, EM Score, 28.2|
Claim 10:|{|Model, LLaMA-7B|, |Method, LTC|, |Dataset, HotpotQA|}, EM Score, 31.0|

