Claim 0: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.14|
Claim 1: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.37|
Claim 2: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.62|
Claim 3: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.28|
Claim 4: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.48|
Claim 5: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.43|
Claim 6: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.26|
Claim 7: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.41|
Claim 8: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.35|
Claim 9: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.24|
Claim 10: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.52|
Claim 11: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.4|
Claim 12: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.33|
Claim 13: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.45|
Claim 14: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.41|
Claim 15: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.29|
Claim 16: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.56|
Claim 17: |{|LLM-Backend, PaLM-2|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.39|
Claim 18: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.23|
Claim 19: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.47|
Claim 20: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.44|
Claim 21: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.28|
Claim 22: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.52|
Claim 23: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.45|
Claim 24: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.26|
Claim 25: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.52|
Claim 26: |{|LLM-Backend, PaLM-2|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.51|
Claim 27: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.36|
Claim 28: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.57|
Claim 29: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.37|
Claim 30: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.38|
Claim 31: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.59|
Claim 32: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.36|
Claim 33: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.37|
Claim 34: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.62|
Claim 35: |{|LLM-Backend, PaLM-2|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.36|
Claim 36: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.33|
Claim 37: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.5|
Claim 38: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.17|
Claim 39: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.62|
Claim 40: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.86|
Claim 41: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.15|
Claim 42: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.61|
Claim 43: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.9|
