Claim 0: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, Acc, 54.0| 
Claim 1: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, F1, 37.1| 
Claim 2: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, H@1, 56.0| 
Claim 3: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, MRR, 62.3| 
Claim 4: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, Acc, 44.6| 
Claim 5: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, F1, 46.7| 
Claim 6: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, H@1, 13.0| 
Claim 7: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, MRR, 18.0| 
Claim 8: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, Acc, 48.6| 
Claim 9: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, F1, 38.7| 
Claim 10: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, H@1, 36.2| 
Claim 11: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, MRR, 46.9| 
Claim 12: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, Acc, 58.2| 
Claim 13: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, F1, 37.1| 
Claim 14: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, H@1, 57.0| 
Claim 15: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, MRR, 63.1| 
Claim 16: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, Acc, 49.4| 
Claim 17: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, F1, 46.7| 
Claim 18: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, H@1, 12.7| 
Claim 19: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, MRR, 18.3| 
Claim 20: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, Acc, 62.2| 
Claim 21: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, F1, 38.7| 
Claim 22: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, H@1, 41.8| 
Claim 23: |{|Model Name, CodeLlama-13B|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, MRR, 51.0| 
Claim 24: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, Acc, 62.4| 
Claim 25: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, F1, 60.3| 
Claim 26: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, H@1, 59.5| 
Claim 27: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, MRR, 64.6| 
Claim 28: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, Acc, 52.4| 
Claim 29: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, F1, 46.7| 
Claim 30: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, H@1, 14.3| 
Claim 31: |{|Model Name, CodeLlama-7B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, MRR, 19.1| 
Claim 32: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, Acc, 69.7| 
