Claim 0: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 7.44|
Claim 1: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 12.87|
Claim 2: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 13.95|
Claim 3: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 4.44|
Claim 4: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 1.00|
Claim 5: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 0.96|
Claim 6: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 94.72|
Claim 7: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 95.67|
Claim 8: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 95.40| 
Claim 9: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 9.44|
Claim 10: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 8.77|
Claim 11: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 7.95|
Claim 12: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 9.24|
Claim 13: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 6.58|
Claim 14: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 6.76|
Claim 15: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 90.71|
Claim 16: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 92.81|
Claim 17: |{ |LLM, LLaMA-2-13b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 92.91| 
Claim 18: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|,|Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 11.69|
Claim 19: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 10.92|
Claim 20: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 6.05|
