Claim 0: |{|Model, Vicuna-7b-v1.5|, |method, PAIR|}, ASR , 94| 
Claim 1: |{|Model, Vicuna-7b-v1.5|, |method, TAP|}, ASR , 90| 
Claim 2: |{|Model, Vicuna-7b-v1.5|, |method, PAP|}, ASR , 94| 
Claim 3: |{|Model, Vicuna-7b-v1.5|, |method, GPTFuzzer|}, ASR , 100| 
Claim 4: |{|Model, Vicuna-7b-v1.5|, |method, RedAgent (Ours)|}, ASR , 100| 
Claim 5: |{|Model, Vicuna-7b-v1.5|, |method, PAIR|}, ANQ , 6.72| 
Claim 6: |{|Model, Vicuna-7b-v1.5|, |method, TAP|}, ANQ , 4.58| 
Claim 7: |{|Model, Vicuna-7b-v1.5|, |method, PAP|}, ANQ , 4.15| 
Claim 8: |{|Model, Vicuna-7b-v1.5|, |method, GPTFuzzer|}, ANQ , 1.2| 
Claim 9: |{|Model, Vicuna-7b-v1.5|, |method, RedAgent (Ours)|}, ANQ , 2.68| 
Claim 10: |{|Model,  LLaMa-2-7b-chat-hf|, |method, PAIR|}, ASR , 46| 
Claim 11: |{|Model,  LLaMa-2-7b-chat-hf|, |method, TAP|}, ASR , 48| 
Claim 12: |{|Model,  LLaMa-2-7b-chat-hf|, |method, PAP|}, ASR , 58| 
Claim 13: |{|Model,  LLaMa-2-7b-chat-hf|, |method, GPTFuzzer|}, ASR , 62| 
Claim 14: |{|Model,  LLaMa-2-7b-chat-hf|, |method, RedAgent (Ours)|}, ASR , 92|  
Claim 15: |{|Model, LLaMa-2-7b-chat-hf|, method, PAIR|}, ANQ , 19.74| 
Claim 16: |{|Model, LLaMa-2-7b-chat-hf|, |method, TAP|}, ANQ , 13.25| 
Claim 17: |{|Model, LLaMa-2-7b-chat-hf|, |method, PAP|}, ANQ , 13.86| 
Claim 18: |{|Model, LLaMa-2-7b-chat-hf|, |method, GPTFuzzer|}, ANQ , 17.26| 
Claim 19: |{|Model, LLaMa-2-7b-chat-hf|, |method, RedAgent (Ours)|}, ANQ , 6.89| 
Claim 20: |{|Model, GPT-3.5-turbo-1106|, |method, PAIR|}, ASR , 64| 
Claim 21: |{|Model, GPT-3.5-turbo-1106|, |method, TAP|}, ASR , 36| 
Claim 22: |{|Model, GPT-3.5-turbo-1106|, |method, PAP|}, ASR , 58| 
Claim 23: |{|Model, GPT-3.5-turbo-1106|, |method, GPTFuzzer|}, ASR , 50| 
Claim 24: |{|Model, GPT-3.5-turbo-1106|, |method, RedAgent (Ours)|}, ASR , 96| 
Claim 25: |{|Model, GPT-3.5-turbo-1106|, |method, PAIR|}, ANQ , 13.25| 
Claim 26: |{|Model, GPT-3.5-turbo-1106|, |method, TAP|}, ANQ , 9.67| 
Claim 27: |{|Model, GPT-3.5-turbo-1106|, |method, PAP|}, ANQ , 9.1| 
Claim 28: |{|Model, GPT-3.5-turbo-1106|, |method, GPTFuzzer|}, ANQ , 15.04| 
Claim 29: |{|Model, GPT-3.5-turbo-1106|, |method, RedAgent (Ours)|}, ANQ , 5.73| 
Claim 30: |{|Model, GPT-4-1106-preview|, |method, PAIR|}, ASR , 74| 
Claim 31: |{|Model, GPT-4-1106-preview|, |method, TAP|}, ASR , 62| 
Claim 32: |{|Model, GPT-4-1106-preview|, |method, PAP|}, ASR , 92| 
Claim 33: |{|Model, GPT-4-1106-preview|, |method, GPTFuzzer|}, ASR , 12| 
Claim 34: |{|Model, GPT-4-1106-preview|, |method, RedAgent (Ours)|}, ASR , 100| 
Claim 35: |{|Model, GPT-4-1106-preview|, |method, PAIR|}, ANQ , 9.73| 
Claim 36: |{|Model, GPT-4-1106-preview|, |method, TAP|}, ANQ , 9.36| 
Claim 37: |{|Model, GPT-4-1106-preview|, |method, PAP|}, ANQ , 5.63| 
Claim 38: |{|Model, GPT-4-1106-preview|, |method, GPTFuzzer|}, ANQ , 9.17| 
Claim 39: |{|Model, GPT-4-1106-preview|, |method, RedAgent (Ours)|}, ANQ , 3.76| 
Claim 40: |{|Model, Gemini-Pro|, |method, PAIR|}, ASR , 94| 
Claim 41: |{|Model, Gemini-Pro|, |method, TAP|}, ASR , 86| 
Claim 42: |{|Model, Gemini-Pro|, |method, PAP|}, ASR , 96| 
Claim 43: |{|Model, Gemini-Pro|, |method, GPTFuzzer|}, ASR , 98| 
Claim 44: |{|Model, Gemini-Pro|, |method, RedAgent (Ours)|}, ASR , 100| 
