File,Attributo,Valori Non Nulli
AmbitionBox.csv,Name,9899
AmbitionBox.csv,Industry,9693
AmbitionBox.csv,Headquarter,9471
AmbitionBox.csv,Ownership,8226
AmbitionBox.csv,Foundation Year,9350
campaignindia.csv,RANK,1000
campaignindia.csv,BRAND NAME,1000
campaignindia.csv,CATEGORY,1000
campaignindia.csv,MAIN MARKET,1000
campaignindia.csv,2010 RANK,1000
companiesMarketCap_dataset.jsonl,id,5897
companiesMarketCap_dataset.jsonl,name,5897
companiesMarketCap_dataset.jsonl,rank,5897
companiesMarketCap_dataset.jsonl,market_cap,5897
companiesMarketCap_dataset.jsonl,country,5741
companiesMarketCap_dataset.jsonl,share_price,5897
companiesMarketCap_dataset.jsonl,change_1_day,5897
companiesMarketCap_dataset.jsonl,change_1_year,5648
companiesMarketCap_dataset.jsonl,categories,5019
company_social_urls.csv,Company,848
company_social_urls.csv,Facebook,847
company_social_urls.csv,Twitter,846
company_social_urls.csv,Instagram,846
company_social_urls.csv,Pinterest,663
DDD-cbinsight.com.csv,Unnamed: 0,1185
DDD-cbinsight.com.csv,name,1185
DDD-cbinsight.com.csv,valuation,1185
DDD-cbinsight.com.csv,dateJoined,1185
DDD-cbinsight.com.csv,country,1185
DDD-cbinsight.com.csv,city,1169
DDD-cbinsight.com.csv,industry,1185
DDD-cbinsight.com.csv,investors,1184
DDD-cbinsight.com.csv,founded,1146
DDD-cbinsight.com.csv,stage,1159
DDD-cbinsight.com.csv,totalRaised,1125
DDD-teamblind.com.csv,Unnamed: 0,946
DDD-teamblind.com.csv,name,946
DDD-teamblind.com.csv,website,946
DDD-teamblind.com.csv,locations,945
DDD-teamblind.com.csv,size,945
DDD-teamblind.com.csv,industry,946
DDD-teamblind.com.csv,founded,944
disfold.com.json,link,16097
disfold.com.json,name,16097
disfold.com.json,headquarters,16097
disfold.com.json,employees,16097
disfold.com.json,ceo,16097
disfold.com.json,market_cap,16097
ft.com.json,link,5000
ft.com.json,name,5000
ft.com.json,country,5000
ft.com.json,industry,5000
ft.com.json,revenue,5000
ft.com.json,employees,5000
ft.com.json,founded,5000
hitHorizons_dataset.jsonl,id,667
hitHorizons_dataset.jsonl,name,667
hitHorizons_dataset.jsonl,address,667
hitHorizons_dataset.jsonl,nation,667
hitHorizons_dataset.jsonl,hhid,667
hitHorizons_dataset.jsonl,industry,667
hitHorizons_dataset.jsonl,sic_code,667
hitHorizons_dataset.jsonl,type,667
hitHorizons_dataset.jsonl,est_of_ownership,667
MalPatSaj-forbes.com.xls,Unnamed: 0,2000
MalPatSaj-forbes.com.xls,Name,2000
MalPatSaj-forbes.com.xls,Country,2000
MalPatSaj-forbes.com.xls,Sales,2000
MalPatSaj-forbes.com.xls,Profit,2000
MalPatSaj-forbes.com.xls,Assets,2000
MalPatSaj-forbes.com.xls,Market Value,2000
MalPatSaj-wikipedia.org.xls,Unnamed: 0,3111
MalPatSaj-wikipedia.org.xls,Name,3111
MalPatSaj-wikipedia.org.xls,Industry,3111
MalPatSaj-wikipedia.org.xls,Sector,3110
MalPatSaj-wikipedia.org.xls,Headquarters,3111
MalPatSaj-wikipedia.org.xls,Founded,3110
MalPatSaj-wikipedia.org.xls,Notes,3099
output_globaldata.json,name,5336
output_globaldata.json,headquarters,5336
output_globaldata.json,number_of_employees,5233
output_globaldata.json,address,5336
output_globaldata.json,industry,5336
output_globaldata.json,website,5336
output_globaldata.json,market_cap,4914
output_globaldata.json,telephone,5242
output_globaldata.json,revenue,5336
output_govuk_bigsize.json,name,7000
output_govuk_bigsize.json,company_number,7000
output_govuk_bigsize.json,registered_office_address,7000
output_govuk_bigsize.json,company_status,7000
output_govuk_bigsize.json,company_type,7000
output_govuk_bigsize.json,company_creation_date,7000
output_govuk_bigsize.json,nature_of_business,7000
valueToday_dataset.jsonl,id,10682
valueToday_dataset.jsonl,name,10682
valueToday_dataset.jsonl,world_rank,10682
valueToday_dataset.jsonl,annual_revenue_in_usd,8296
valueToday_dataset.jsonl,annual_net_income_in_usd,8302
valueToday_dataset.jsonl,annual_results_for_year_ending,8350
valueToday_dataset.jsonl,total_assets_in_usd,7960
valueToday_dataset.jsonl,total_liabilities_in_usd,7959
valueToday_dataset.jsonl,total_equity_in_usd,7958
valueToday_dataset.jsonl,headquarters_region_city,3380
valueToday_dataset.jsonl,headquarters_country,10664
valueToday_dataset.jsonl,headquarters_sub_region,10634
valueToday_dataset.jsonl,headquarters_continent,10659
valueToday_dataset.jsonl,company_business,10513
valueToday_dataset.jsonl,number_of_employees,5451
valueToday_dataset.jsonl,ceo,1249
valueToday_dataset.jsonl,founders,394
valueToday_dataset.jsonl,company_website,10399
wissel-activity-ariregister.rik.ee.csv,ID azienda,1015
wissel-activity-ariregister.rik.ee.csv,Area of Activity,1015
wissel-activity-ariregister.rik.ee.csv,EMTAK Code,1015
wissel-activity-ariregister.rik.ee.csv,NACE Code,1015
wissel-activity-ariregister.rik.ee.csv,Source,1015
wissel-aziende-ariregister.rik.ee.csv,URL,1469
wissel-aziende-ariregister.rik.ee.csv,ID,1469
wissel-aziende-ariregister.rik.ee.csv,Name,1469
wissel-aziende-ariregister.rik.ee.csv,Code,1466
wissel-aziende-ariregister.rik.ee.csv,Legal form,1469
wissel-aziende-ariregister.rik.ee.csv,Status,1437
wissel-aziende-ariregister.rik.ee.csv,Registration Date,1466
wissel-aziende-ariregister.rik.ee.csv,Capital,896
wissel-aziende-ariregister.rik.ee.csv,Address,968
wissel-aziende-ariregister.rik.ee.csv,Deletion Date,458
wissel-aziende-info-clipper.com.csv,Unnamed: 0,4656
wissel-aziende-info-clipper.com.csv,INDEX,4656
wissel-aziende-info-clipper.com.csv,URL,4656
wissel-aziende-info-clipper.com.csv,Name,4656
wissel-aziende-info-clipper.com.csv,Trade Name,677
wissel-aziende-info-clipper.com.csv,Address Name,4656
wissel-aziende-info-clipper.com.csv,Postalcode,4656
wissel-aziende-info-clipper.com.csv,City,4656
wissel-aziende-info-clipper.com.csv,State,4656
wissel-aziende-info-clipper.com.csv,Country,4656
wissel-aziende-info-clipper.com.csv,Location type,4400
wissel-partners-ariregister.rik.ee.csv,ID azienda,1191
wissel-partners-ariregister.rik.ee.csv,Name,1191
wissel-partners-ariregister.rik.ee.csv,Code,1191
wissel-partners-ariregister.rik.ee.csv,Participation,1191
wissel-partners-ariregister.rik.ee.csv,Contribution,1191
wissel-rappresentanti-ariregister.rik.ee.csv,ID azienda,1005
wissel-rappresentanti-ariregister.rik.ee.csv,Name,1005
wissel-rappresentanti-ariregister.rik.ee.csv,Code,1005
