latitude,longitude,address,category,city,country,employees,founded,fundation_year,investors,link,market_cap,name,ownership,revenue,satus,stage,telephone,total_raised,type,unnamed,valuation,full_address
8.4882267,76.947551,,NBFC,Trivandrum/Thiruvananthapuram Kerala India,,,,1887 (136 yrs old),,,,Muthoot Fincorp,Private,,,,,,,,,Trivandrum/Thiruvananthapuram Kerala India
9.87109945,76.27827654307958,,NBFC,Kochi/Cochin Kerala India,,,,1939 (84 yrs old),,,,Muthoot Finance,Public,,,,,,,,,Kochi/Cochin Kerala India
10.5161402,76.2084616,,NBFC,Thrissur/Trichur Kerala India,,,,1949 (74 yrs old),,,,Manappuram Finance,Public,,,,,,,,,Thrissur/Trichur Kerala India
12.98815675,77.62260003796,,IT Services & Consulting,Bangalore/Bengaluru Karnataka India,,,,1945 (78 yrs old),,,,Wipro,Public,,,,,,,,,Bangalore/Bengaluru Karnataka India
13.0836939,80.270186,,Automobile,Chennai Tamil Nadu India,,,,1948 (75 yrs old),,,,Ashok Leyland,Public,,,,,,,,,Chennai Tamil Nadu India
17.442473907634827,78.50469052729599,,Pharma,Hyderabad/Secunderabad Telangana India,,,,1986 (37 yrs old),,,,Dr. Reddy's,Public,,,,,,,,,Hyderabad/Secunderabad Telangana India
18.5213738,73.8545071,,Insurance,Pune India,,,,2001 (22 yrs old),,,,Bajaj Allianz Life Insurance,Private,,,,,,,,,Pune India
18.64486265,73.92241565390222,,IT Services & Consulting,Pune Maharashtra India,,,,1986 (37 yrs old),,,,Tech Mahindra,Public,,,,,,,,,Pune Maharashtra India
18.984407954400236,73.01893133109773,,Telecom,Navi Mumbai Maharashtra India,,,,2007 (16 yrs old),,,,Reliance jio,Public,,,,,,,,,Navi Mumbai Maharashtra India
19.054999,72.8692035,,Pharma,Mumbai India,,,,1983 (40 yrs old),,,,Sun Pharmaceutical Industries,Public,,,,,,,,,Mumbai India
19.09015275,72.86371349380883,,IT Services & Consulting,Mumbai Maharashtra India,,,,1968 (55 yrs old),,,,TCS,Public,,,,,,,,,Mumbai Maharashtra India
22.2973142,73.1942567,,IT Services & Consulting,Vadodara/Baroda Gujarat India,,,,2012 (11 yrs old),,,,L&T Technology Services,Public,,,,,,,,,Vadodara/Baroda Gujarat India
22.5726459,88.3638953,,FMCG,Kolkata West Bengal India,,,,1975 (48 yrs old),,,,ITC,Public,,,,,,,,,Kolkata West Bengal India
23.0205969,113.7457788,,Consumer Electronics & Appliances,Dongguan Guangdong China,,,,2004 (19 yrs old),,,,OPPO,Public,,,,,,,,,Dongguan Guangdong China
23.039799,72.5687134,,Pharma,Ahmedabad India India,,,,1952 (71 yrs old),,,,Zydus Cadila,Public,,,,,,,,,Ahmedabad India India
26.9154576,75.8189817,,Financial Services,Jaipur Rajasthan India,,,,1996 (27 yrs old),,,,AU Small Finance Bank,Private,,,,,,,,,Jaipur Rajasthan India
28.4646148,77.0299194,,Financial Services,Gurugram India,,,,2012 (11 yrs old),,,,Home Credit Finance,Private,,,,,,,,,Gurugram India
28.4891009,77.0111934,,Telecom,Gurgaon/Gurugram Haryana India,,,,1995 (28 yrs old),,,,Bharti Airtel,Public,,,,,,,,,Gurgaon/Gurugram Haryana India
28.5706333,77.3272147,,BPO,Noida Uttar Pradesh India,,,,2000 (23 yrs old),,,,iEnergizer,Private,,,,,,,,,Noida Uttar Pradesh India
28.64308585,77.21926705734865,,Automobile,New Delhi Delhi India,,,,1983 (40 yrs old),,,,Maruti Suzuki,Public,,,,,,,,,New Delhi Delhi India
35.6941626,139.7535624,,IT Services & Consulting,Chiyoda City Tokyo Japan,,,,1988 (35 yrs old),,,,NTT DATA,Private,,,,,,,,,Chiyoda City Tokyo Japan
35.996653,-78.9018053,,Clinical Research,Durham United States,,,,1982 (41 yrs old),,,,IQVIA,Partnership,,,,,,,,,Durham United States
37.5545547,126.9707793,,Consumer Electronics & Appliances,Seoul Seoul South Korea,,,,1958 (65 yrs old),,,,LG Electronics,Public,,,,,,,,,Seoul Seoul South Korea
37.5666791,126.9782914,,Automobile,Seoul South Korea,,,,1967 (56 yrs old),,,,Hyundai Motor,Private,,,,,,,,,Seoul South Korea
40.0757384,-74.4041622,,IT Services & Consulting,New Jersey United States,,,,1949 (74 yrs old),,,,Automatic Data Processing (ADP),,,,,,,,,,New Jersey United States
41.4499432,-74.02842191730669,,IT Services & Consulting,New York New York United States USA,,,,1997 (26 yrs old),,,,Genpact,Public,,,,,,,,,New York New York United States USA
41.94108735,-74.04776477123686,,IT Services & Consulting,New York City New York United States USA,,,,2004 (19 yrs old),,,,BNY Mellon,Private,,,,,,,,,New York City New York United States USA
45.5031824,-73.5698065,,IT Services & Consulting,Montreal Quebec Canada,,,,1976 (47 yrs old),,,,Cgi Group,Private,,,,,,,,,Montreal Quebec Canada
46.28264875,-96.07457445378682,,Healthcare,Minnesota United States USA,,,,1977 (46 yrs old),,,,Optum,Private,,,,,,,,,Minnesota United States USA
47.3744489,8.5410422,,Electrical Equipment,Zurich Switzerland,,,,2001 (22 yrs old),,,,ABB Group,Public,,,,,,,,,Zurich Switzerland
48.1371079,11.5753822,,IT Services & Consulting,Munich Bavaria Germany,,,,1996 (27 yrs old),,,,Nagarro,Private,,,,,,,,,Munich Bavaria Germany
48.7983947,9.0624386,,Auto Components,Gerlingen Baden-Wuerttemberg Germany,,,,1886 (137 yrs old),,,,Bosch,Public,,,,,,,,,Gerlingen Baden-Wuerttemberg Germany
48.8250508,2.273457,,Facility Management Services,Issy les Moulineaux France,,,,2008 (15 yrs old),,,,Sodexo,Private,,,,,,,,,Issy les Moulineaux France
48.8588897,2.3200410217200766,,IT Services & Consulting,Paris France,,,,1967 (56 yrs old),,,,Capgemini,Public,,,,,,,,,Paris France
50.1106444,8.6820917,,Banking,Frankfurt Germany,,,,1870 (153 yrs old),,,,Deutsche Bank,Private,,,,,,,,,Frankfurt Germany
51.40749825,-0.1032434681191121,,Consulting,London United Kingdom UK,,,,1998 (25 yrs old),,,,PwC,Partnership,,,,,,,,,London United Kingdom UK
51.5074456,-0.1277653,,Consulting,London England,,,,1989 (34 yrs old),,,,Ernst & Young,Private,,,,,,,,,London England
53.3493795,-6.2605593,,IT Services & Consulting,Dublin Ireland,,,,1989 (34 yrs old),,,,Accenture,Public,,,,,,,,,Dublin Ireland
