address,category,city,country,employees,founded,fundation_year,investors,link,market_cap,name,ownership,revenue,satus,stage,telephone,total_raised,type,unnamed,valuation,full_address,latitude,longitude
,IT Services & Consulting,Mumbai Maharashtra India,,,,1968 (55 yrs old),,,,TCS,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,IT Services & Consulting,Dublin Ireland,,,,1989 (34 yrs old),,,,Accenture,Public,,,,,,,,,Dublin Ireland,53.3493795,-6.2605593
,IT Services & Consulting,Teaneck New Jersey United States USA,,,,1994 (29 yrs old),,,,Cognizant,Private,,,,,,,,,Teaneck New Jersey United States USA,,
,Banking,Mumbai Maharashtra India,,,,1994 (29 yrs old),,,,ICICI Bank,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Banking,Mumbai Maharashtra India,,,,1994 (29 yrs old),,,,HDFC Bank,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,IT Services & Consulting,Bangalore/Bengaluru Karnataka India,,,,1945 (78 yrs old),,,,Wipro,Public,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,IT Services & Consulting,Bengaluru/Bangalore Karnataka India,,,,1981 (42 yrs old),,,,Infosys,Public,,,,,,,,,Bengaluru/Bangalore Karnataka India,12.98815675,77.62260003796
,IT Services & Consulting,Paris France,,,,1967 (56 yrs old),,,,Capgemini,Public,,,,,,,,,Paris France,48.8588897,2.3200410217200766
,IT Services & Consulting,Pune Maharashtra India,,,,1986 (37 yrs old),,,,Tech Mahindra,Public,,,,,,,,,Pune Maharashtra India,18.64486265,73.92241565390222
,IT Services & Consulting,New York New York United States USA,,,,1997 (26 yrs old),,,,Genpact,Public,,,,,,,,,New York New York United States USA,41.4499432,-74.02842191730669
,IT Services & Consulting,,,,,1991 (32 yrs old),,,,HCLTech,Public,,,,,,,,,,,
,Internet,SeattleWashington United States,,,,1994 (29 yrs old),,,,Amazon,Public,,,,,,,,,SeattleWashington United States,,
,Banking,Mumbai Maharashtra India,,,,1993 (30 yrs old),,,,Axis Bank,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Software Product,ArmonkNew York United States,,,,1911 (112 yrs old),,,,IBM,Public,,,,,,,,,ArmonkNew York United States,,
,BPO,Fremont California United States USA,,,,1983 (40 yrs old),,,,Concentrix Corporation,Public,,,,,,,,,Fremont California United States USA,,
,Telecom,Navi Mumbai Maharashtra India,,,,2007 (16 yrs old),,,,Reliance jio,Public,,,,,,,,,Navi Mumbai Maharashtra India,18.984407954400233,73.01893133109773
,Engineering & Construction,Mumbai Maharashtra India,,,,1946 (77 yrs old),,,,Larsen & Toubro Limited,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,NBFC,Ahmedabad Gujrat India,,,,2007 (16 yrs old),,,,HDB Financial Services,Private,,,,,,,,,Ahmedabad Gujrat India,,
,IT Services & Consulting,Gandhinagar Gujrat India,,,,2018 (5 yrs old),,,,Vodafone Idea,Public,,,,,,,,,Gandhinagar Gujrat India,,
,BPO,Paris France,,,,1978 (45 yrs old),,,,Teleperformance,Private,,,,,,,,,Paris France,48.8588897,2.3200410217200766
,Retail,Navi Mumbai Maharashtra India,,,,2006 (17 yrs old),,,,Reliance Retail,Private,,,,,,,,,Navi Mumbai Maharashtra India,18.984407954400233,73.01893133109773
,Banking,Mumbai Maharashtra India,,,,2003 (20 yrs old),,,,Kotak Mahindra Bank,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Management Consulting,New York New York United States USA,,,,1845 (178 yrs old),,,,Deloitte,Private,,,,,,,,,New York New York United States USA,41.4499432,-74.02842191730669
,Oil & Gas,Navi Mumbai Maharashtra India,,,,1973 (50 yrs old),,,,Reliance Industries,Public,,,,,,,,,Navi Mumbai Maharashtra India,18.984407954400233,73.01893133109773
,Telecom,Gurgaon/Gurugram Haryana India,,,,1995 (28 yrs old),,,,Bharti Airtel,Public,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,Automobile,Pune Maharashtra India,,,,1945 (78 yrs old),,,,Tata Motors,Public,,,,,,,,,Pune Maharashtra India,18.64486265,73.92241565390222
,EdTech,BangaloreKarnataka India,,,,2011 (12 yrs old),,,,BYJU'S,Private,,,,,,,,,BangaloreKarnataka India,,
,Internet,BangaloreKarnataka India,,,,2007 (16 yrs old),,,,Flipkart,Public,,,,,,,,,BangaloreKarnataka India,,
,Analytics & KPO,Mumbai Maharashtra India,,,,1996 (27 yrs old),,,,WNS,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Automobile,Mumbai Maharashtra India,,,,1945 (78 yrs old),,,,Mahindra & Mahindra,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Banking,Gurgaon/Gurugram Haryana India,,,,1994 (29 yrs old),,,,IndusInd Bank,Public,,,,,,,,,Gurgaon/Gurugram Haryana India,28.4891009,77.0111934
,Consulting,London England,,,,1989 (34 yrs old),,,,Ernst & Young,Private,,,,,,,,,London England,51.5074456,-0.1277653
,IT Services & Consulting,MinatoTokyo Japan,,,,2017 (6 yrs old),,,,DXC Technology,Public,,,,,,,,,MinatoTokyo Japan,,
,BPO,Bangalore/Bengaluru Karnataka India,,,,2000 (23 yrs old),,,,Hinduja Global Solutions,Public,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,BPO,Bangalore/Bengaluru Karnataka India,,,,2002 (21 yrs old),,,,Infosys BPM,,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,Automobile,New Delhi Delhi India,,,,1983 (40 yrs old),,,,Maruti Suzuki,Public,,,,,,,,,New Delhi Delhi India,28.64308585,77.21926705734865
,Banking,Mumbai Maharashtra India,,,,2018 (5 yrs old),,,,IDFC FIRST Bank,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Banking,Pune Maharashtra India,,,,2002 (21 yrs old),,,,HSBC,Private,,,,,,,,,Pune Maharashtra India,18.64486265,73.92241565390222
,Insurance,PuneMaharashtra India,,,,2007 (16 yrs old),,,,Bajaj Finserv,Public,,,,,,,,,PuneMaharashtra India,,
,Telecom,StockholmStockholm County Sweden,,,,1876 (147 yrs old),,,,Ericsson,Private,,,,,,,,,StockholmStockholm County Sweden,,
,Analytics & KPO,Mumbai Maharashtra India,,,,2002 (21 yrs old),,,,Conneqt Business Solutions,Private,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,IT Services & Consulting,Bangalore/Bengaluru Karnataka India,,,,1998 (25 yrs old),,,,Mphasis,Public,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,BPO,Mumbai Maharashtra India,,,,2017 (6 yrs old),,,,Startek,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Pharma,Hyderabad/Secunderabad Telangana India,,,,1986 (37 yrs old),,,,Dr. Reddy's,Public,,,,,,,,,Hyderabad/Secunderabad Telangana India,17.442473907634827,78.50469052729599
,IT Services & Consulting,Pittsford New York United States USA,,,,1986 (37 yrs old),,,,Sutherland Global Services,Private,,,,,,,,,Pittsford New York United States USA,,
,Pharma,Mumbai Maharashtra India,,,,1935 (88 yrs old),,,,Cipla Pharmaceutical,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Banking,Mumbai Maharashtra India,,,,2004 (19 yrs old),,,,Yes Bank,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Internet,BangaloreKarnataka India,,,,2016 (7 yrs old),,,,Udaan,Private,,,,,,,,,BangaloreKarnataka India,,
,Banking,Bangalore/Bengaluru Karnataka India,,,,2006 (17 yrs old),,,,Jana Small Finance Bank,Public,,,,,,,,,Bangalore/Bengaluru Karnataka India,12.98815675,77.62260003796
,Chemicals,Mumbai Maharashtra India,,,,1942 (81 yrs old),,,,Asian Paints,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,IT Services & Consulting,Chiyoda City Tokyo Japan,,,,1988 (35 yrs old),,,,NTT DATA,Private,,,,,,,,,Chiyoda City Tokyo Japan,35.6941626,139.7535624
,Insurance,Mumbai Maharashtra India,,,,2000 (23 yrs old),,,,ICICI Prudential Life Insurance,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Insurance,Mumbai Maharashtra India,,,,2000 (23 yrs old),,,,HDFC Life,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Pharma,Mumbai Maharashtra India,,,,1968 (55 yrs old),,,,Lupin,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,IT Services & Consulting,,,,,,,,,HCL Group,,,,,,,,,,,,
,Consulting,London United Kingdom UK,,,,1998 (25 yrs old),,,,PwC,Partnership,,,,,,,,,London United Kingdom UK,51.40749825,-0.10324346811911217
,Analytics & KPO,New York CityNew York United States,,,,1999 (24 yrs old),,,,EXL Service,Private,,,,,,,,,New York CityNew York United States,,
,BPO,Noida Uttar Pradesh India,,,,2000 (23 yrs old),,,,iEnergizer,Private,,,,,,,,,Noida Uttar Pradesh India,28.5706333,77.3272147
,Defence & Aerospace,New Delhi Delhi India,,,,1895 (128 yrs old),,,,Indian Army,Public,,,,,,,,,New Delhi Delhi India,28.64308585,77.21926705734865
,IT Services & Consulting,Mumbai Maharashtra India,,,,1996 (27 yrs old),,,,L&T Infotech,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,Building Material,Mumbai Maharashtra India,,,,1983 (40 yrs old),,,,UltraTech Cement,Public,,,,,,,,,Mumbai Maharashtra India,19.09015275,72.86371349380883
,NBFC,Pune Maharashtra India,,,,1987 (36 yrs old),,,,Bajaj Finance,Private,,,,,,,,,Pune Maharashtra India,18.64486265,73.92241565390222
