c1.company_id,c1.company_name,c1.industry,c1.sector,c1.categories,c1.company_status,c1.company_type,c1.address,c1.postal_code,c1.city,c1.country,c1.state,c1.foundation_year,c1.registration_date,c1.website,c1.rank,c1.market_cap_or_valuation,c1.number_of_employees,c1.ceo,c1.assets,c1.profit_or_net_income,c1.revenue,c1.share_price,c1.change_1_day,c1.change_1_year,c1.debts,c1.phone,c1.notes_or_description,c2.company_id,c2.company_name,c2.industry,c2.sector,c2.categories,c2.company_status,c2.company_type,c2.address,c2.postal_code,c2.city,c2.country,c2.state,c2.foundation_year,c2.registration_date,c2.website,c2.rank,c2.market_cap_or_valuation,c2.number_of_employees,c2.ceo,c2.assets,c2.profit_or_net_income,c2.revenue,c2.share_price,c2.change_1_day,c2.change_1_year,c2.debts,c2.phone,c2.notes_or_description,similarity_score,is_match
13569630,new age sports,,,,active,private limited company,"61 bridge street, kington, united kingdom, hr5 3dj",,unknown,,,17 august 2021,,,,,,,,,,,,,,,47910 - retail sale via mail order houses or via internet,13665742,new age support,,,,active,private limited company,"12 linden road, london, england, n11 1er",,unknown,,,6 october 2021,,,,,,,,,,,,,,,81100 - combined facilities support activities,89.65517241379311,False
3959,total marketing support,,,,,,7th floor 350 euston road,nw1 3ax,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/total-marketing-support-limited.gbd3n7dla.html,,,,,,,,,,,,,headquarter,3956,total marketing support global,,,,,,350 euston road,nw1 3ax,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/total-marketing-support-global-limited.gbd3nvczp.html,,,,,,,,,,,,,headquarter,86.79245283018868,True
2755,aviva insurance uk,,,,,,st. helens 1 undershaft,ec3p 3dq,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/aviva-insurance-services-uk-limited.gbd6klfqw.html,,,,,,,,,,,,,headquarter,2752,axa insurance uk,,,,,,20 gracechurch street,ec3v 0bg,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/axa-insurance-uk-plc.gbd3ibdbp.html,,,,,,,,,,,,,headquarter,88.23529411764706,False
2373,state street global advisors,,,,,,1 lincoln st,21112900,boston,united states,massachusetts(ma),,,https://www.info-clipper.com/en/company/united-states/state-street-global-advisors-inc.usd5ciyf.html,,,,,,,,,,,,,headquarter,2376,state street global advisors trust,,,,,,1 iron st,22101641,boston,united states,massachusetts(ma),,,https://www.info-clipper.com/en/company/united-states/state-street-global-advisors-trust-company.usd1c0rm2.html,,,,,,,,,,,,,single address,90.32258064516128,True
2000,marks and spencer,,,,,,waterside house 35 north wharf road,w2 1nw,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/marks-and-spencer-holdings-limited.gbd3pt1gm.html,,,,,,,,,,,,,single address,4435,marks and spencer p.l.c,,,,,,waterside house 35 north wharf road,w2 1nw,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/marks-and-spencer-plc.gbd3h56j4.html,,,,,,,,,,,,,headquarter,85.0,True
372,allied universal holdco,,,,,,1551 tustin ave ste 650,927058664,santa ana,united states,california(ca),,,https://www.info-clipper.com/en/company/united-states/allied-universal-holdco-llc.usd1bvmul.html,,,,,,,,,,,,,headquarter,408,allied universal topco,,,,,,1551 n tustin ave,927058634,santa ana,united states,california(ca),,,https://www.info-clipper.com/en/company/united-states/allied-universal-topco-llc.usd1bw1zl.html,,,,,,,,,,,,,headquarter,88.88888888888889,True
192,palantir technologies,,,,,,1200 17th s fl 15,802025835,denver,united states,colorado(co),,,https://www.info-clipper.com/en/company/united-states/palantir-technologies-inc.usd5zlq14.html,,,,,,,,,,,,,headquarter,216,palantir technologies qfc,,,,,,1555 blake st ste 250,802021866,denver,united states,colorado(co),,,https://www.info-clipper.com/en/company/united-states/palantir-technologies-qfc-llc.usd1ygym7.html,,,,,,,,,,,,,single address,91.30434782608695,True
,progeny,financial services,,,,,,,unknown,united kingdom,,2016,,https://theprogenygroup.com/,,,161,,,,"16,601,337",,,,,,,fb51c1203c874af1b135c9de6e520d3f,progyny,,,,,,,,unknown,united states,,,,,3139,$3.06 b,,,,,,$33.02,-0.81%,-10.47%,,,,85.71428571428572,False
2271,edgewell personal care,,,,,,6 research dr,64846228,shelton,united states,connecticut(ct),,,https://www.info-clipper.com/en/company/united-states/edgewell-personal-care-company.usd27alkb.html,,,,,,,,,,,,,headquarter,4221,edgewell personal care brands,,,,,,6 research dr,064846228,shelton,united states,connecticut(ct),,,https://www.info-clipper.com/en/company/united-states/edgewell-personal-care-brands-llc.usd2i0b21.html,,,,,,,,,,,,,headquarter,86.27450980392157,True
09108752,beauty care boutique,,,,active,private limited company,"72 cardigan street, luton, england, lu1 1rr",,unknown,,,30 june 2014,,,,,,,,,,,,,,,86900 - other human health activities,sc530482,beauty boutique fife,,,,active,private limited company,"unit 5 the coachworks, woodside road, glenrothes, fife, united kingdom, ky7 4ab",,unknown,,,23 march 2016,,,,,,,,,,,,,,,96020 - hairdressing and other beauty treatment,85.0,False
4089,gl events italia,,,,,,via nizza 294,10126,torino,italy,italy,,,https://www.info-clipper.com/en/company/italy/gl-events-italia-spa.itd72zxke.html,,,,,,,,,,,,,single address,4086,gl events italia expo,,,,,,via nizza 294,10126,torino,italy,italy,,,https://www.info-clipper.com/en/company/italy/gl-events-italia-expo-srl.itd69fgw5.html,,,,,,,,,,,,,single address,86.48648648648648,True
2898,amazon.com,,,,,,410 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncom-services-llc.usd24spn6.html,,,,,,,,,,,,,headquarter,2658,amazon.com.ca,,,,,,410 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncomca-inc.usd1rhgpi.html,,,,,,,,,,,,,single address,86.95652173913044,True
b9b2fcc0342f4b269364a5e3035001e2,kama,,,"['Industries', 'Chemicals', 'Conglomerate']",,,,,unknown,india,,,,http://www.kamaholdings.com/,"9,886",,,,"2,029 million usd",120 million usd,"1,554 million usd",,,,913 million usd,,,916286944f6f4f2abd3c4af33ed2b3e1,kaman,,,['Aerospace'],,,,,unknown,united states,,,,,5190,$0.63 b,,,,,,$22.84,1.33%,-44.76%,,,,88.88888888888889,False
,guangzhou development,power,,,,,"31-32 f, no. 3, linjiang avenue, tianhe district, guangzhou, guangdong, 510623",,unknown,,,,,www.gdg.com.cn,,$3.0b,"5,808",,,,$5.9b,,,,,86 20 37850968,,,guangdong development,bank,,,,,,,unknown,,,,,,955,,,,,,,,,,,,,85.71428571428572,False
769,bp international,,,,,,1 st james's square,sw1y 4pd,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/bp-international-limited.gbd3h1ff0.html,,,,,,,,,,,,,,2443,bpp international,,,,,,aldine house 142 144 uxbridge road,w12 8aa,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/bpp-international-limited.gbd3woj17.html,,,,,,,,,,,,,headquarter,96.96969696969695,False
2644,eisler capital (hc),,,,,,16 st james's street,sw1a 1er,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/eisler-capital-ltd.gbd3pbe8i.html,,,,,,,,,,,,,single address,2638,eisler capital (uk),,,,,,16 st. james's street,sw1a 1er,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/eisler-capital-ltd.gbd3nigur.html,,,,,,,,,,,,,headquarter,89.47368421052632,True
4529,ambienta societa' di gestione del risparmio,,,,,,piazza fontana 6,20122,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/ambienta-societa-di-gestione-del-risparmio-spa.itd5lobxb.html,,,,,,,,,,,,,headquarter,3152,azimut societa' di gestione del risparmio,,,,,,via cusani 4,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/azimut-societa-di-gestione-del-risparmio-spa.itd78q0d0.html,,,,,,,,,,,,,single address,90.47619047619048,False
