company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,headquarters,address,postal_code,city,country,state,continent,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,normalized_name,modified,normalized_country,city_translate
c11c4decba8742b8853058c68875e0b6 | 3694 | 1804,1-800-flowers.com, | 1-800-flowers.com,,," | ['Consumer Cyclical', 'Retail']",,,, | 2 jericho plz ste 200, | 117531681, | jericho,united states, | new york(ny), | northern america,0,,https://www.info-clipper.com/en/company/united-states/1-800-flowerscom-inc.usdddnn4j.html | https://www.1800flowers.com/," | 7,226",," | 4,800",,," | 1,076 million usd", | 118 million usd," | 2,122 million usd",,,,, | 567 million usd,,,,,,,,,,, | headquarter,1-800-flowers.com,False | True,united states, | jericho
e33d30e1d309429198c1f23eafcb88db | c1312a8c4da24fc99b63787d05769085,10x genomics,,,,"['Genomics', 'Biotech'] | ['Healthcare', 'Medical Equipment', 'Healthcare Technology and Information']",,,,,,,united states, | california, | northern america,0,, | https://www.10xgenomics.com/,"1,410 | 2293", | $5.41 b," | 1,148", | serge saxonov,," | 1,018 million usd", | -58 million usd, | 490 million usd,, | $47.33, | 5.22%, | -46.99%, | 201 million usd,,,,,,,,,,,,10x genomics,True,united states,
53b870f2377d436c9f8c8bf61fc85cdd | 2feb10d62d3545c585a116727108a8d5,11,,,,"['Telecommunication', 'Internet'] | ['Communication Services', 'Telecom', 'Internet Providers']",,,,,,,germany,, | western europe,0,, | https://www.1und1-drillisch.de,"3506 | 3,387", | $2.43 b," | 3,163",,," | 7,790 million usd", | 408 million usd," | 4,312 million usd",, | $13.80, | 2.42%, | -48.58%," | 2,034 million usd",,,,,,,,,,,,11,True,germany,
4300 | 1500,123-reg,,,,,,,,"5th floor the shipping building old viny, 252-254 blyth road",ub3 1ha,hayes,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/123-reg-limited.gbdbw83pd.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,123-reg,False,united kingdom,hayes
2862294f65604246b1233a9e34ec249e | 380a0b3b91894944b8ca185a6dc935d3,1st source,,,,"['Banks', 'Financial services'] | ['Financial Services', 'Banking Services']",,,,,,,united states, | indiana, | northern america,0,, | https://www.1stsource.com/,"4518 | 8,112", | $1.14 b," | 1,130",,," | 8,096 million usd", | 117 million usd, | 336 million usd,,$46.61 | ,-7.98% | , | -4.07%," | 7,126 million usd",,,,,,,,,,,,1st source,True,united states,
5604cf72b0ff4cd9b33d7eb5dd63ce7a | cee62c3607a44c9a98bc3b5cd4239ec4,23andme,,,,"['Biotech', 'Software', 'Tech'] | ['Healthcare', 'Health Care Diagnostics', 'Biotechnology']",,,,,,,united states,, | northern america,0,, | https://www.23andme.com/,"4546 | 5,045", | $1.11 b, | 746,,," | 1,152 million usd", | -217 million usd, | 271 million usd,, | $2.45, | 4.26%, | -45.56%, | 236 million usd,,,,,,,,,,,,23andme,True,united states,
3414 | 267,24,,,,,,,,vaike-turu tn 5-81,51004,"tartu, tartu",estonia,estonia,,0,,https://www.info-clipper.com/en/company/estonia/24-holding-ou.eed9cn4d7.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,24,False,estonia,"tartu, tartu"
,2c2p,,fintech,,,,,,,,,singapore,,,2003,,https://2c2p.com/ | https://www.2c2p.com/,,,343 | 406,,,,,80.62 | 122.44,,,,,,,,,,,,,,,,,2c2p,True,singapore,
097b713fe52b4f44ba5d8cb51cff3977 | 7d2ec615ec67472184d2bf442515b486,2u,,,,"['Consumer Defensive', 'Software and IT', 'Technology', 'Software Products', 'Education'] | ['Education', 'Tech']",,,,,,,united states, | maryland, | northern america,0,, | https://2u.com/,"5392 | 7,651", | $0.52 b," | 3,982",,," | 2,109 million usd", | -194 million usd, | 945 million usd,, | $6.66, | 4.80%,-53.43% | ," | 1,279 million usd",,,,,,,,,,,,2u,True,united states,
,3c,,automobiles,,,,,,,,,italy,,,1979,,https://www.3csrl.com | https://www.3csrl.com/,,,14 | 15,,,,,13.10 | 9.8,,,,,,,,,,,,,,,,,3c,True,italy,
7d536d11bda14309a5444a384cc8b3db | 92b35ffddc3447fe8eb8b01e698e0b14,3d,,,,"['3D Printing', 'Tech', 'Software'] | ['Technology', 'Software and IT', 'Software Products', 'Computers Hardware']",,,,,,,united states, | south carolina, | northern america,0,, | https://www.3dsystems.com,"4421 | 5,412", | $1.23 b," | 1,721",,," | 1,549 million usd", | 322 million usd, | 615 million usd,, | $9.45, | 4.65%, | -43.98%, | 706 million usd,,,,,,,,,,,,3d,True,united states,
 | 8a06f9d2f6954289954b7c7b38fc1adf,3i,,,," | ['Financial Services', 'Investments', 'Asset Management']",,,,,,,united kingdom, | london, | northern europe,0,, | https://www.3i.com/, | 410, | $16.82 b, | 282, | simon a borrows,,"17,481 million usd | $16.62 b","4,727 million usd | $3.83 b","4,882 million usd | $331 m",,,,," | 2,459 million usd",,,,,,,,,,,,3i,True,united kingdom,
5d1354c4892942d3beb0cbd12b3d5305 | 704ed7db224d42888b5063999269d580,3i infotech,,,,"['Technology', 'Software and IT'] | ['Software', 'Tech']",,,,,,,india,, | southern asia,0,, | https://www.3i-infotech.com/,"6,329 | 6670", | $82.79 m,,,, | 120 million usd, | -7 million usd, | 85 million usd,, | $0.49, | -0.50%, | -55.45%, | 32 million usd,,,,,,,,,,,,3i infotech,True,india,
 | 243981a5d2c14becb7eff8556c801f9e | d4f5bba633f2460abeb7bb547f8a5216 | 1191,3m,,,," | ['Industries', 'Medical Equipment', 'Electronics', 'HealthCare Products', 'Chemicals', 'Engineering Products', 'Adhesives', 'Consumer Goods', 'Conglomerate', 'Industry Machinery'] | ['Dow jones', 'Gloves & PPE']",,,, | 3m center, | 551441000, | saint paul,united states, | minnesota | minnesota(mn), | northern america,0,, | https://www.info-clipper.com/en/company/united-states/3m-company.usd3ob6i.html | https://www.3m.com/, | 198 | 147, | $70.19 b | $84.9 b," | 95,000", | mike roman," | ['William McGonagle', 'John Dwan', 'Danley Budd', 'Hermon Cable', 'Henry Bryan']"," | $47.07 b | 47,072 million usd"," | $5.92 b | 5,921 million usd"," | $35.35 b | 35,355 million usd",, | $126.99, | 0.79%, | -25.41%," | 32,026 million usd",,,,,,,,,,, | headquarter,3m,False | True,united states, | saint paul
5e4870e4f6684c26876c6c27c2bd64e8 | 79c49440579a42308e269b974f3f2a15,3m india,,,,"['Gloves & PPE'] | ['Industries', 'Engineering Products', 'Conglomerate']",,,,,,,india, | mumbai, | southern asia,0,, | https://www.3mindia.in/3m/en_in/company-in/,"4,013 | 3100", | $3.14 b,"1,277 | ",,, | 376 million usd, | 34 million usd, | 417 million usd,, | $279.48, | -0.20%, | -15.77%, | 103 million usd,,,,,,,,,,,,3m india,True,india,
4650 | 1194,3m innovative properties, | 3m,,,,,,,3m center bldg 225 3s 06,551441001,saint paul,united states,minnesota(mn),,0,,https://www.info-clipper.com/en/company/united-states/3m-innovative-properties-company.usd27v5mj.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,3m innovative properties,False,united states,saint paul
251 | 3398,3p logistics,,,,,,,,laki poik 2,12919,tallinn,estonia,estonia,,0,,https://www.info-clipper.com/en/company/estonia/3p-logistics-ou.eed8vd8ii.html,,,,,,,,,,,,,,,,,,,,,,,,single address,3p logistics,False,estonia,tallinn
,3zehn auto discount,,automobiles,,,,,,,,,germany,,,2016,,https://www.3zehn.net/ | https://www.3zehn.net,,,9 | 12,,,,,"11,377,000 | 25,448,057",,,,,,,,,,,,,,,,,3zehn auto discount,True,germany,
,4most,,insurance,,,,,,,,,united kingdom,,,2011,,https://www.4-most.co.uk/ | https://www.4-most.co.uk,,,120 | 139,,,,,21.64 | 22.2,,,,,,,,,,,,,,,,,4most,True,united kingdom,
3279 | 1535,5.11,,,,,,,,1360 reynolds ave ste 101,926145535,irvine,united states,california(ca),,0,,https://www.info-clipper.com/en/company/united-states/511-inc.usd28vais.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,5.11,False,united states,irvine
,50nrth,,personal & household goods | retail,,,,,,,,,germany,,,2004,,https://www.50nrth.com/ | https://www.50nrth.com,,,54 | 14,,,,,"10.6 | 35,107,348",,,,,,,,,,,,,,,,,50nrth,True,germany,
,7layers,,cyber security,,,,,,,,,italy,,,2012,,https://www.7layers.it/ | https://www.7layers.it,,,16 | 30 | 9,,,,,"7,800,356 | 5.85 | 5.3",,,,,,,,,,,,,,,,,7layers,True,italy,
b6fe2fcc2b3a480299c36d15f03fa9ed | 8f45c543c1e146dab34720cb707c2c65,7road,,,,"['Video games', 'Entertainment'] | ['Communication Services', 'Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Internet or Mobile App Based Business', 'Leisure', 'Entertainment']",,,,,,,china,,eastern asia | ,0,, | http://www.7road.com/en/,"9,956 | 4862", | $0.86 b,,,,,,,, | $0.31, | 0.00%, | -6.06%,,,,,,,,,,,,,7road,True,china,
,84codes,,technology,,,,,,,,,sweden,,,2012,,https://www.84codes.com/ | https://www.84codes.com,,,8 | 12,,,,,"8,119,684 | 4.87",,,,,,,,,,,,,,,,,84codes,True,sweden,
0dcdcd655c1440069f5b3ad0de118134 | 7b9ea1f3661241079f40a1d16f07c529,8x8,,,,"['Software', 'Tech'] | ['Technology', 'Software and IT', 'Telecom', 'Utilities', 'Business Services', 'Cloud Services', 'Software Products', 'Telecom Equipment']",,,,,,,united states, | california, | northern america,0,, | https://www.8x8.com,"6,484 | 5457", | $0.49 b," | 2,216",,, | 910 million usd, | -175 million usd, | 638 million usd,, | $4.39, | -1.35%, | -71.79%, | 727 million usd,,,,,,,,,,,,8x8,True,united states,
3845 | 1069,a-plan,,,,,,,,2 des roches square,ox28 4le,witney,united kingdom,united kingdom,,0,,https://www.info-clipper.com/en/company/united-kingdom/a-plan-holdings.gbd4ut6sz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,a-plan,False,united kingdom,witney
890 | 3720,a. menarini diagnostics,,,,,,,,via lungo l'ema 7,50012,bagno a ripoli,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/a-menarini-diagnostics-srl.itde670sz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,a. menarini diagnostics,True,italy,bagno a ripoli
3945 | 1088,a.a. modelleria,,,,,,,,via roma 142,10060,roletto,italy,italy,,0,,https://www.info-clipper.com/en/company/italy/aa-modelleria-srl.itd73o1t7.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,a.a. modelleria,False,italy,roletto
,a.s.h. automobile,,automobiles,,,,,,,,,germany,,,2014,,https://www.autosalon-hh.de/ | https://autosalon-hh.de,,,4 | 5,,,,,"2,196,630 | 2,333,452",,,,,,,,,,,,,,,,,a.s.h. automobile,True,germany,
,a.u.e. genc,,ecommerce | retail,,,,,,,,,germany,,,2009,,https://www.weg-ist-weg.com,,,9,,,,,"10,980,000 | 5.6",,,,,,,,,,,,,,,,,a.u.e. genc,True,germany,
