company_id,company_name,trade_name,industry,sector,categories,company_status,company_type,address,postal_code,city,country,state,foundation_year,registration_date,website,rank,market_cap_or_valuation,number_of_employees,ceo,founder,assets,profit_or_net_income,revenue,total_funding_raised,share_price,change_1_day,change_1_year,debts,phone,sic_code,emtak_code,nace_code,facebook,twitter,pinterest,instagram,investors,region,notes_or_description,modified
3694 | 1804,1-800-flowers.com,1-800-flowers.com,,,,,,2 jericho plz ste 200,117531681,jericho,united states,new york(ny),,,https://www.info-clipper.com/en/company/united-states/1-800-flowerscom-inc.usdddnn4j.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
4300 | 1500,123-reg,,,,,,,"5th floor the shipping building old viny, 252-254 blyth road",ub3 1ha,hayes,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/123-reg-limited.gbdbw83pd.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
267 | 3414,24,,,,,,,vaike-turu tn 5-81,51004,"tartu, tartu",estonia,estonia,,,https://www.info-clipper.com/en/company/estonia/24-holding-ou.eed9cn4d7.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,360 capital reit | 360 capital,,,,,,,,,sydney,australia,,,,https://disfold.com/company/360-capital-reit/ | https://disfold.com/company/360-capital-group-limited/,,a$204.0 million | a$133.1 million,not found,not found,,,,,,,,,,,,,,,,,,,,,True
4650 | 1194,3m innovative properties, | 3m,,,,,,3m center bldg 225 3s 06,551441001,saint paul,united states,minnesota(mn),,,https://www.info-clipper.com/en/company/united-states/3m-innovative-properties-company.usd27v5mj.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
3398 | 251,3p logistics,,,,,,,laki poik 2,12919,tallinn,estonia,estonia,,,https://www.info-clipper.com/en/company/estonia/3p-logistics-ou.eed8vd8ii.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
1535 | 3279,5.11,,,,,,,1360 reynolds ave ste 101,926145535,irvine,united states,california(ca),,,https://www.info-clipper.com/en/company/united-states/511-inc.usd28vais.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
3845 | 1069,a-plan,,,,,,,2 des roches square,ox28 4le,witney,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/a-plan-holdings.gbd4ut6sz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
890 | 3720,a. menarini diagnostics,,,,,,,via lungo l'ema 7,50012,bagno a ripoli,italy,italy,,,https://www.info-clipper.com/en/company/italy/a-menarini-diagnostics-srl.itde670sz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
1088 | 3945,a.a. modelleria,,,,,,,via roma 142,10060,roletto,italy,italy,,,https://www.info-clipper.com/en/company/italy/aa-modelleria-srl.itd73o1t7.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
1969 | 3898,aac technologies,,,,,,,20380 town center lane,950143210,cupertino,united states,california(ca),,,https://www.info-clipper.com/en/company/united-states/aac-technologies-holdings-inc.usd1ecico.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
790 | 3467,aas mid-cap uk branch,,,,,,,3 st. james's square,sw1y 4ju,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/aas-mid-cap-uk-branch.gbd3qrtn2.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
3800 | 1027,ab agri,,,,,,,64 innovation way lynch wood lynch wood,pe2 6fl,peterborough,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/ab-agri-limited.gbd3ia4ff.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
3257 | 78,abb, | power systems division,,,,,,via luciano lama 33,20099,sesto san giovanni,italy,italy,,,https://www.info-clipper.com/en/company/italy/abb-spa.itd72y6i2.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
31 | 3179,abc garden,,,,,,,variku tee 6-1,11911,tallinn,estonia,estonia,,,https://www.info-clipper.com/en/company/estonia/abc-garden-ou.eed8vdhlz.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,abaxx technologies | abc technologies,,,,,,,,,toronto,canada,,,,https://disfold.com/company/abaxx-technologies-inc/ | https://disfold.com/company/abc-technologies-holdings-inc/,,c$340.3 million | c$134.2 million,"7,600 | not found","mr. todd p. sheppelman | mr. joshua dale crumb b.sc., m.sc.",,,,,,,,,,,,,,,,,,,,,True
3812 | 1036 | 3809 | 1039,abellio east anglia | abellio east midlands,,,,,,,"2nd floor st andrews house, 18-20 st. andrew street | 2nd floor st andrew's house 18-20 st andrew street",ec4a 3ag,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/abellio-east-midlands-limited.gbd3nprnp.html | https://www.info-clipper.com/en/company/united-kingdom/abellio-east-anglia-limited.gbd3ljacr.html,,,,,,,,,,,,,,,,,,,,,,,,single address | headquarter,False
4483 | 109,abellio scotrail,,,,,,,culzean house 36 renfield street,g2 1lu,glasgow,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/abellio-scotrail-ltd.gbd3mnavy.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,aberdeen global premier properties fund | aberdeen income credit strategies fund,,,,,,,,,aberdeen,united kingdom,,,,https://disfold.com/company/aberdeen-income-credit-strategies-fund/ | https://disfold.com/company/aberdeen-global-premier-properties-fund/,,$560.6 million | $168.3 million,not found,not found,,,,,,,,,,,,,,,,,,,,,True
,aberdeen asia-pacific income fund | aberdeen japan equity fund,,,,,,,,,singapore,singapore,,,,https://disfold.com/company/aberdeen-japan-equity-fund-inc/ | https://disfold.com/company/aberdeen-asia-pacific-income-fund-inc/,,$92.6 million | $856.6 million,not found,"mr. martin james gilbert c.a., ca, l.l.b., llb, lld, m.a., ma, ma llb lld c | not found",,,,,,,,,,,,,,,,,,,,,True
959 | 3804,abet,,,,,,,viale industria 19,12042,bra,italy,italy,,,https://www.info-clipper.com/en/company/italy/abet-spa.itd72tm7z.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
1789 | 3670,abm industry groups,,,,,,,14141 southwest fwy ste 477,774784630,sugar land,united states,texas(tx),,,https://www.info-clipper.com/en/company/united-states/abm-industry-groups-llc.usd1bzcd5.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
3830 | 1054,abn amro clearing london,,,,,,,5 aldermanbury square,ec2v 7hr,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/abn-amro-clearing-london-limited.gbd3pnl03.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
4077 | 1211,above comparison,,,,,,,via felice casati 1 a,20124,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/above-comparison-srl.itd7bxqct.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
586 | 3305,abraham,,,,,,,via fosse incrociate 284,47822,santarcangelo di romagna,italy,italy,,,https://www.info-clipper.com/en/company/italy/abraham-industries-srl.itd74jze4.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,absa bank | absa,,,,,,,,,johannesburg,south africa,,,,https://disfold.com/company/absa-group-ltd/ | https://disfold.com/company/absa-bank-ltd/,,r155.59 billion | r36.4 million,"35,267 | 25,908",mr. jason paul quinn c.a.,,,,,,,,,,,,,,,,,,,,,True
853 | 3567,abysse uk,,,,,,,c/o accountsco 47 islington park street,n1 1qb,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/abysse-uk-ltd.gbd3pjrz5.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
2196 | 4140,acams north america chapters,,,,,,,80 sw 8th st ste 2350,331303013,miami,united states,florida(fl),,,https://www.info-clipper.com/en/company/united-states/acams-north-america-chapters-inc.usd15ogk4.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
4321 | 4318 | 4324 | 1524 | 1521 | 1518,accenture marketing | accenture | accenture (uk),,,,,,,plantation place 30 fenchurch street | 30 fenchurch street,ec3m 3bd,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/accenture-plc.gbd3o8lux.html | https://www.info-clipper.com/en/company/united-kingdom/accenture-limited.gbdc5kakf.html | https://www.info-clipper.com/en/company/united-kingdom/accenture-marketing-services-ltd.gbd3i0pjc.html,,,,,,,,,,,,,,,,,,,,,,,,single address | headquarter,False
4376 | 1504,accenture,,,,,,,via nino bonnet 10,20154,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/accenture-spa.itd78tok8.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
755 | 3532,acciaierie d'italia,,,,,,,viale certosa 239,20151,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/acciaierie-ditalia-spa.itd79h831.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
1207 | 3998,accor (u.k.),,,,,,,10 hammersmith grove,w6 7ap,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/accor-limited.gbd3r6im6.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
,accor | accor acquisition,,,,,,,,,issy-les-moulineaux,france,,,,https://disfold.com/company/accor-sa/ | https://disfold.com/company/accor-acquisition-company-sa/,,not found | €7.61 billion,"14,466 | not found",not found | mr. sebastien marie christophe bazin,,,,,,,,,,,,,,,,,,,,,True
4001 | 1210,accor uk business leisure hotels,,,,,,,10 hammersmith grove,w6 7ap,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/accor-uk-business-leisure-hotels-limited.gbd3law77.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
4004 | 1213,accor uk economy hotels,,,,,,,10 hammersmith grove,w6 7ap,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/accor-uk-economy-hotels-limited.gbd4u2o5d.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
2448 | 4407,actavis laboratories ut,,,,,,,579 s chipeta way,841081222,salt lake city,united states,utah(ut),,,https://www.info-clipper.com/en/company/united-states/actavis-laboratories-ut-inc.usd1bdvy0.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
,adani solar | adani power,,power,power,,,public,,,ahmedabad,india,,2015 (8 yrs old) | 2006 (17 yrs old),,,,,,,,,,,,,,,,,,,,,,,,,,,True
638 | 3369,adenes italia,,,,,,,via giuseppe di vittorio 61,20068,peschiera borromeo,italy,italy,,,https://www.info-clipper.com/en/company/italy/adenes-italia-srl.itd7b320z.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
4111 | 2167,adidas international,,,,,,,5055 n greeley ave,972173524,portland,united states,oregon(or),,,https://www.info-clipper.com/en/company/united-states/adidas-international-inc.usd2bada6.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
4108 | 2164,adidas promotional retail operations,adidas,,,,,,5055 n greeley ave,972173524,portland,united states,oregon(or),,,https://www.info-clipper.com/en/company/united-states/adidas-promotional-retail-operations-inc.usdecgdke.html,,,,,,,,,,,,,,,,,,,,,,,,single address,False
,aditya birla finance | aditya birla capital | aditya birla sunlife asset management,,financial services,financial services,,,partnership | private | public,,,mumbai,india,,1994 (29 yrs old) | 2012 (11 yrs old) | 2007 (16 yrs old),,,,,,,,,,,,,,,,,,,,,,,,,,,True
,administradora de fondos de pensiones habitat | administradora de fondos de pensiones provida | administradora de fondos de pensiones cuprum | administradora de fondos de pensiones planvital,,,,,,,,,santiago,chile,,,,https://disfold.com/company/administradora-de-fondos-de-pensiones-cuprum-sa/ | https://disfold.com/company/administradora-de-fondos-de-pensiones-habitat-sa/ | https://disfold.com/company/administradora-de-fondos-de-pensiones-provida-sa/ | https://disfold.com/company/administradora-de-fondos-de-pensiones-planvital-sa/,,cl$101.81 billion | cl$380.32 billion | cl$373.21 billion | cl$556.77 billion,"1,909 | 892 | 1,281 | 2,579",not found,,,,,,,,,,,,,,,,,,,,,True
4401 | 2442,administrative ohio department of,,,,,,,30 e broad st,432153414,columbus,united states,ohio(oh),,,https://www.info-clipper.com/en/company/united-states/administrative-services-ohio-department-of.usdddkesa.html,,,,,,,,,,,,,,,,,,,,,,,,headquarter,False
135 | 131 | 3282 | 3278,admirals | admiral markets,,,,,,,maakri tn 19/1,10145,tallinn,estonia,estonia,,,https://www.info-clipper.com/en/company/estonia/admiral-markets-as.eed631ggi.html | https://www.info-clipper.com/en/company/estonia/admirals-group-as.eed9cok8z.html,,,,,,,,,,,,,,,,,,,,,,,,single address | headquarter,False
,abaco careers | adtran careers,,computer networking | computer hardware,computer networking | computer hardware,,,,,,huntsville,al,,2015.0 | 1985.0,,www.abaco.com | www.adtran.com,,,"1,001 to 5,000 employees | 51 to 200 employees",,,,,,,,,,,,,,,,,,,,,,True
,advanced automation | advanced | advancer global,,,,,,,,,singapore,singapore,,,,https://disfold.com/company/advancer-global-ltd/ | https://disfold.com/company/advanced-holdings-ltd/ | https://disfold.com/company/advanced-systems-automation-ltd/,,s$32.7 million | s$9.4 million | s$22.3 million,not found,mr. chong hoe seah | not found | mr. mei yang chin,,,,,,,,,,,,,,,,,,,,,True
,advanced connection | advanced info service pcl | advanced information,,,,,,,,,bangkok,thailand,,,,https://disfold.com/company/advanced-information-technology-public-company-ltd/ | https://disfold.com/company/advanced-connection-corp-public-company-ltd/ | https://disfold.com/company/advanced-info-service-pcl/,,฿1.57 billion | ฿692.56 billion | ฿8.97 billion,not found,mr. somchai lertsutiwong | not found,,,,,,,,,,,,,,,,,,,,,True
,advantage energy | advantage oil gas,,,,,,,,,calgary,canada,,,,https://disfold.com/company/advantage-energy-ltd/ | https://disfold.com/company/advantage-oil-gas-ltd/,,c$1.63 billion | €1.15 billion,42,mr. michael e. belenkie p. eng.,,,,,,,,,,,,,,,,,,,,,True
3756 | 917 | 3752 | 914,advanz pharma italia | advanz pharma specialty medicine italia,,,,,,,via giosue' carducci 24 | via caldera 21,20123 | 20153,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/advanz-pharma-specialty-medicine-italia-srl.itd5lkuk9.html | https://www.info-clipper.com/en/company/italy/advanz-pharma-italia-srl.itd741qfa.html,,,,,,,,,,,,,,,,,,,,,,,,single address | headquarter,False
