"RANK","BRAND NAME","CATEGORY","MAIN MARKET","2010 RANK"
"1","Sony","Consumer electronics","Regional","1"
"2","Samsung","Electronics/White goods","Regional","2"
"3","Panasonic","Consumer electronics","Regional","3"
"4","LG","Electronics/White goods","Regional","4"
"5","Canon","Camera/Office equipment","Regional","5"
"6","Apple","Mobile Phone","Regional","9"
"7","Hewlett-Packard","Computer","Regional","10"
"8","Google","Internet search engine","Regional","6"
"9","Nestlé","Food and drink","Regional","8"
"10","Nike","Sports retail","Regional","13"
"11","McDonald’s","Fast food","Regional","12"
"12","adidas","Sports retail","Regional","16"
"13","Coca-Cola","Soft drinks","Regional","11"
"14","7-Eleven","Convenience store","Regional","17"
"15","Starbucks","Coffee chain","Regional","14"
"16","Colgate","Toothpaste","Regional","18"
"17","Facebook","Social networking","Regional","20"
"18","Yahoo","Internet search engine","Regional","7"
"19","Honda","Car/Motorcycle","Regional","15"
"20","Toshiba","Electronics/White goods","Regional","26"
"21","Microsoft","Computer Software","Regional","22"
"22","Maggi","Instant Noodles","Regional","29"
"23","Lotte","Chewing/ Bubble gum","Japan, Korea","21"
"24","KFC","Fast-Food","Greater China, Southeast Asia","24"
"25","Nikon","Camera","Regional","30"
"26","Hitachi","Consumer Electronics","Regional","25"
"27","Sharp","Consumer Electronics","Regional","23"
"28","Nokia","Mobile Phone","Regional","19"
"29","Playstation","Gaming Console","Regional","60"
"30","Chanel","Fragrance/Perfume/Luxury Fashion Retailer","Regional","28"
"31","Dove","Shower Gel/Soap /Shampoo","Regional","36"
"32","Pepsi","Carbonated Soft Drink","Regional","35"
"33","Nescafé","Coffee","Regional","45"
"34","Cadbury","Chocolate","Regional","37"
"35","Mitsubishi","Consumer electronics","Regional","32"
"36","Epson","Printer","Regional","50"
"37","Uni-president","Instant Noodles","Greater China","39"
"38","Yamaha","Motorcycle","Regional","33"
"39","Shell","Petrol/Gas Station","Greater China, Southeast Asia","46"
"40","DHL","Courier Company","Regional","47"
"41","Toyota","Car/Automobile","Regional","43"
"42","Rolex","Watch","Regional","42"
"43","Meiji","Food","Regional","27"
"44","Darlie","Toothpaste","Greater China, Southeast Asia","55"
"45","Michelin","Tyre","Regional","48"
"46","Nintendo","Gaming Console","Regional","31"
"47","Lux","Shower Gel/Soap","Regional","52"
"48","Häagen-Dazs","Ice-cream","Regional","61"
"49","BMW","Car/Automobile","Regional","54"
"50","Dell","Computer","Regional","62"
"51","Bridgestone","Tyre","Regional","53"
"52","VISA","Credit Card","Regional","63"
"53","L’Oréal","Cosmetics/Skincare Shampoo","Regional","57"
"54","Pantene","Shampoo","Regional","77"
"55","Shiseido","Cosmetics","Regional","34"
"56","Pampers","Diaper","Regional","41"
"57","Philips","Consumer Electronics","Regional","49"
"58","Air Asia","Budget Airlines","Southeast Asia","66"
"59","Mercedes-Benz","Car/Automobile","Regional","70"
"60","Twitter","Social Networking Site","Regional","123"
"61","Watsons","Pharmacy/Drugstore","Greater China, Southeast Asia","44"
"62","Nivea","Skincare","Regional","56"
