ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
2,Other activities auxiliary to financial services that are not classified elsewhere,66199 (EMTAK 2008),66.19,Electronic submission\n                                    (14.07.2021)\n                                    
3,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (07.02.2022)\n                                    
4,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (29.06.2022)\n                                    
5,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (26.02.2022)\n                                    
6,"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",77399 (EMTAK 2008),77.39,Annual report\n                                    (18.04.2022)\n                                    
7,Manufacture of plastic packing goods \xc2\xa0,22221 (EMTAK 2008),22.22,Annual report\n                                    (04.05.2022)\n                                    
8,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Statistics Estonia\n                                    (01.11.2021)\n                                    
9,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission\n                                    (06.07.2020)\n                                    
11,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (21.09.2021)\n                                    
12,Holiday home (chalets),55202 (EMTAK 2008),55.20,Annual report\n                                    (28.04.2022)\n                                    
14,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (30.05.2022)\n                                    
17,Activities attorneys and law offices,69101 (EMTAK 2008),69.10,Annual report\n                                    (01.07.2022)\n                                    
18,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (10.12.2021)\n                                    
19,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report\n                                    (29.06.2014)\n                                    
20,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (19.08.2022)\n                                    
21,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (25.11.2019)\n                                    
22,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (30.06.2022)\n                                    
23,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report\n                                    (14.07.2022)\n                                    
24,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report\n                                    (29.06.2014)\n                                    
25,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (22.12.2020)\n                                    
27,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (04.02.2017)\n                                    
33,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report\n                                    (28.07.2022)\n                                    
34,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report\n                                    (17.06.2022)\n                                    
36,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report\n                                    (29.06.2022)\n                                    
37,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Field of activity code data encoding by RIK\n                                    (10.09.1999)\n                                    
38,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report\n                                    (16.08.2022)\n                                    
40,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report\n                                    (28.06.2022)\n                                    
42,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report\n                                    (30.03.2022)\n                                    
45,Landscape service activities,81301 (EMTAK 2008),81.30,Annual report\n                                    (14.08.2022)\n                                    
46,Management of gardening and cottage associations,68322 (EMTAK 2008),68.32,Annual report\n                                    (01.07.2022)\n                                    
49,Bee keeping,01491 (EMTAK 2008),01.49,Annual report\n                                    (31.01.2022)\n                                    
50,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (17.06.2022)\n                                    
51,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",47111 (EMTAK 2008),47.11,Annual report\n                                    (03.07.2022)\n                                    
52,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report\n                                    (21.06.2017)\n                                    
53,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (04.07.2022)\n                                    
54,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (19.05.2021)\n                                    
55,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (19.12.2018)\n                                    
56,Other human resources provision,78301 (EMTAK 2008),78.30,Annual report\n                                    (21.07.2019)\n                                    
57,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (26.06.2016)\n                                    
58,Other education n.e.c.,8559 (EMTAK 2008),85.59,Electronic submission\n                                    (18.06.2021)\n                                    
60,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission\n                                    (13.11.2009)\n                                    
64,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (26.06.2022)\n                                    
67,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission\n                                    (19.11.2020)\n                                    
68,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission\n                                    (19.11.2020)\n                                    
69,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission\n                                    (19.11.2020)\n                                    
70,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission\n                                    (19.11.2020)\n                                    
71,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission\n                                    (19.11.2020)\n                                    
72,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission\n                                    (17.11.2020)\n                                    
73,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report\n                                    (02.11.2021)\n                                    
74,Other electronical communications services,61901 (EMTAK 2008),61.90,Annual report\n                                    (03.06.2022)\n                                    
75,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission\n                                    (13.09.2021)\n                                    
77,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Other source\n                                    (25.02.2008)\n                                    
79,Specialised design activities,74101 (EMTAK 2008),74.10,Electronic submission\n                                    (13.07.2022)\n                                    
80,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (28.06.2022)\n                                    
82,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (18.02.2022)\n                                    
84,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (21.04.2022)\n                                    
86,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (14.03.2022)\n                                    
87,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
90,Retail sale of household articles and equipment n.e.c.,47599 (EMTAK 2008),47.59,Annual report\n                                    (05.05.2022)\n                                    
92,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission\n                                    (19.09.2017)\n                                    
93,Development of building projects,41101 (EMTAK 2008),41.10,Electronic submission\n                                    (28.03.2022)\n                                    
94,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (02.12.2008)\n                                    
98,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (18.03.2021)\n                                    
99,Web portals,63121 (EMTAK 2008),63.12,Electronic submission\n                                    (16.09.2021)\n                                    
101,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report\n                                    (30.06.2022)\n                                    
102,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (07.01.2022)\n                                    
103,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (18.03.2022)\n                                    
104,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (20.02.2022)\n                                    
